evaluation_id,algorithm,episode_id,seed,total_reward,episode_length,outcome,success,truncated,final_step_reward,final_x,final_y,final_vx,final_vy,final_angle,final_angular_velocity,left_contact,right_contact,fuel_proxy,action_0_count,action_1_count,action_2_count,action_3_count
dqn_default_selection,DQN,0,5000,29.093447544324274,1000,truncated,False,True,0.0036441902180197883,0.04731454700231552,0.0004080271755810827,-0.0016184592386707664,-5.328268457560625e-07,0.000594683107919991,0.0004976197378709912,1.0,1.0,157.7400000000006,17,299,475,209
dqn_default_selection,DQN,1,5001,68.41724711725819,1000,truncated,False,True,-0.029988339229503252,-0.029708385467529297,-0.0007439636974595487,-0.0021420898847281933,-3.6836495382885914e-06,0.0014630586374551058,0.0006201577489264309,1.0,1.0,128.81999999999994,18,384,368,230
dqn_default_selection,DQN,2,5002,109.60109126810528,717,success,True,False,100.0,-0.47326621413230896,-0.04333283007144928,0.0,0.0,-0.28269755840301514,0.0,0.0,1.0,122.09999999999962,4,218,373,122
dqn_default_selection,DQN,3,5003,163.28043029816246,689,success,True,False,100.0,-0.3417820334434509,-0.007385220378637314,0.0,0.0,0.05245735123753548,0.0,1.0,1.0,122.93999999999956,2,125,379,183
dqn_default_selection,DQN,4,5004,-37.470764053181,1000,truncated,False,True,-0.2181694290029476,-0.17488518357276917,0.014578709378838539,-0.06261440366506577,-0.00810082908719778,-0.04203944653272629,-0.01586754061281681,0.0,0.0,184.26000000000164,6,210,572,212
dqn_default_selection,DQN,5,5005,222.42080736548843,558,success,True,False,100.0,0.12084436416625977,-0.002490510931238532,0.0,0.0,-0.0084714749827981,0.0,1.0,1.0,96.80999999999973,4,142,297,115
dqn_default_selection,DQN,6,5006,-28.657089120179982,1000,truncated,False,True,-0.9044839631598081,-0.2868519425392151,0.0075247143395245075,-0.09312223643064499,0.03140775114297867,-0.054182540625333786,-0.07310478389263153,0.0,0.0,185.70000000000167,3,206,577,214
dqn_default_selection,DQN,7,5007,155.39989016384874,707,success,True,False,100.0,-0.1255977600812912,-0.004146614111959934,0.0,0.0,0.024642115458846092,0.0,1.0,1.0,127.04999999999953,9,143,393,162
dqn_default_selection,DQN,8,5008,-86.32998386905149,552,crash,False,False,-100.0,-0.4391850531101227,0.03317185491323471,-0.4754045009613037,-0.08526957780122757,0.09248824417591095,0.631951630115509,1.0,0.0,101.99999999999966,5,109,317,121
dqn_default_selection,DQN,9,5009,112.17824312448217,1000,truncated,False,True,1.3747893584978617,-0.0752163901925087,-0.0006082081818021834,-0.00020798113837372512,-6.725460934831062e-06,0.00100737065076828,3.1459148885915056e-06,1.0,1.0,115.26000000000018,2,445,316,237
