evaluation_id,algorithm,episode_id,seed,total_reward,episode_length,outcome,success,truncated,final_step_reward,final_x,final_y,final_vx,final_vy,final_angle,final_angular_velocity,left_contact,right_contact,fuel_proxy,action_0_count,action_1_count,action_2_count,action_3_count
ppo_gamma_0999_selection,PPO,0,5000,203.6898402576185,498,success,True,False,100.0,-0.0630946159362793,2.9299259040271863e-05,0.0,0.0,-0.005470852833241224,0.0,1.0,1.0,81.23999999999977,49,101,251,97
ppo_gamma_0999_selection,PPO,1,5001,211.19768597789272,509,success,True,False,100.0,0.054978370666503906,-0.0008850478916428983,0.0,0.0,-0.0035329197999089956,0.0,1.0,1.0,83.51999999999975,56,95,259,99
ppo_gamma_0999_selection,PPO,2,5002,163.34131094328316,571,success,True,False,100.0,-0.3261874318122864,-0.04712489992380142,0.0,0.0,0.2620275318622589,0.0,0.0,0.0,75.05999999999986,148,61,231,131
ppo_gamma_0999_selection,PPO,3,5003,230.80542154144123,432,success,True,False,100.0,-0.2673683166503906,-0.0003977799497079104,0.0,0.0,-0.0044449432753026485,0.0,1.0,1.0,67.70999999999985,74,72,211,75
ppo_gamma_0999_selection,PPO,4,5004,205.09978019036373,463,success,True,False,100.0,-0.10129880905151367,-0.0012873434461653233,0.0,0.0,-0.0003550096007529646,0.0,1.0,1.0,79.58999999999978,51,80,249,83
ppo_gamma_0999_selection,PPO,5,5005,251.8593857463681,451,success,True,False,100.0,-0.06425142288208008,-0.0010081076761707664,0.0,0.0,-0.0006295251660048962,0.0,1.0,1.0,73.85999999999984,41,91,228,91
ppo_gamma_0999_selection,PPO,6,5006,229.5402942917455,474,success,True,False,100.0,0.09823522716760635,-0.0011313462164252996,0.0,0.0,-0.0013936831383034587,0.0,1.0,1.0,81.47999999999978,44,92,254,84
ppo_gamma_0999_selection,PPO,7,5007,216.6614521698569,481,success,True,False,100.0,-0.02765646018087864,-0.0008586907642893493,0.0,0.0,0.00029386929236352444,0.0,1.0,1.0,78.1199999999998,55,95,242,89
ppo_gamma_0999_selection,PPO,8,5008,-9.376050266330182,370,crash,False,False,-100.0,-0.29367369413375854,-0.00136083597317338,0.024226661771535873,-0.059069860726594925,-0.24258333444595337,-0.2876967787742615,1.0,0.0,65.03999999999988,20,80,202,68
ppo_gamma_0999_selection,PPO,9,5009,256.5703329063761,453,success,True,False,100.0,0.04501142352819443,-0.0008105182787403464,0.0,0.0,-0.005094648338854313,0.0,1.0,1.0,73.49999999999984,55,87,228,83
