evaluation_id,algorithm,episode_id,seed,total_reward,episode_length,outcome,success,truncated,final_step_reward,final_x,final_y,final_vx,final_vy,final_angle,final_angular_velocity,left_contact,right_contact,fuel_proxy,action_0_count,action_1_count,action_2_count,action_3_count
ppo_optuna_final_100,PPO,0,10000,267.1277430573615,237,success,True,False,100.0,-0.0591462142765522,-0.0009204173111356795,0.0,0.0,0.00330273131839931,0.0,1.0,1.0,36.240000000000045,73,24,116,24
ppo_optuna_final_100,PPO,1,10001,289.31359015501056,244,success,True,False,100.0,-0.026125621050596237,-0.00037796737160533667,0.0,0.0,-0.0017306879162788391,0.0,1.0,1.0,33.030000000000065,88,28,105,23
ppo_optuna_final_100,PPO,2,10002,308.2564299721498,277,success,True,False,100.0,0.007964896969497204,-0.000800898065790534,0.0,0.0,0.0014530899934470654,0.0,1.0,1.0,37.41000000000004,101,30,119,27
ppo_optuna_final_100,PPO,3,10003,254.31822546824017,262,success,True,False,100.0,-0.0318509116768837,-0.0008081221603788435,0.0,0.0,-0.0015963768819347024,0.0,1.0,1.0,35.490000000000045,96,25,113,28
ppo_optuna_final_100,PPO,4,10004,263.0956126824853,258,success,True,False,100.0,-0.05318574979901314,-0.000989832915365696,0.0,0.0,0.003768456866964698,0.0,1.0,1.0,35.520000000000046,100,24,114,20
ppo_optuna_final_100,PPO,5,10005,254.9623018307405,269,success,True,False,100.0,-0.006941509433090687,-0.0008988881018012762,0.0,0.0,-0.000348065048456192,0.0,1.0,1.0,35.640000000000036,116,19,115,19
ppo_optuna_final_100,PPO,6,10006,283.61646088718203,252,success,True,False,100.0,-0.031203174963593483,-0.0013661646516993642,0.0,0.0,-9.31510076043196e-05,0.0,1.0,1.0,34.59000000000005,80,28,109,35
ppo_optuna_final_100,PPO,7,10007,282.33508915363933,263,success,True,False,100.0,0.016723060980439186,-0.0005454802303574979,0.0,0.0,0.0004229624755680561,0.0,1.0,1.0,37.89000000000003,80,34,120,29
ppo_optuna_final_100,PPO,8,10008,253.44168856571625,253,success,True,False,100.0,-0.0012142180930823088,-0.0008996748947538435,0.0,0.0,-0.0031385773327201605,0.0,1.0,1.0,35.61000000000004,92,24,114,23
ppo_optuna_final_100,PPO,9,10009,293.47678684682774,225,success,True,False,100.0,-0.06389150768518448,-0.0010559582151472569,0.0,0.0,0.00024460299755446613,0.0,1.0,1.0,31.290000000000067,64,27,98,36
ppo_optuna_final_100,PPO,10,10010,310.69943602332165,211,success,True,False,100.0,-0.027088165283203125,-0.0002534413360990584,0.0,0.0,0.00298224575817585,0.0,1.0,1.0,33.210000000000065,40,31,104,36
ppo_optuna_final_100,PPO,11,10011,291.0095273841131,245,success,True,False,100.0,-0.056349754333496094,-0.0012384915025904775,0.0,0.0,-0.001382531481795013,0.0,1.0,1.0,35.07000000000005,75,26,111,33
ppo_optuna_final_100,PPO,12,10012,298.18170025352356,206,success,True,False,100.0,-0.007563305087387562,-0.001164319459348917,0.0,0.0,0.0011555067030712962,0.0,1.0,1.0,28.440000000000065,59,25,89,33
ppo_optuna_final_100,PPO,13,10013,303.73665887743186,239,success,True,False,100.0,-0.032887935638427734,-0.0011073136702179909,0.0,0.0,-0.0017272942932322621,0.0,1.0,1.0,35.43000000000006,66,34,112,27
