evaluation_id,algorithm,episode_id,seed,total_reward,episode_length,outcome,success,truncated,final_step_reward,final_x,final_y,final_vx,final_vy,final_angle,final_angular_velocity,left_contact,right_contact,fuel_proxy,action_0_count,action_1_count,action_2_count,action_3_count
ppo_optuna_gamma_t003_s242_robustness,PPO,0,3000,226.22320945575217,336,success,True,False,100.0,-0.6254181265830994,-0.08030232787132263,0.0,0.0,0.11577232927083969,0.0,1.0,1.0,50.339999999999904,125,18,163,30
ppo_optuna_gamma_t003_s242_robustness,PPO,1,3001,258.3084928805582,506,success,True,False,100.0,0.02561006508767605,-7.663011638214812e-05,0.0,0.0,0.0030256472527980804,0.0,1.0,1.0,81.74999999999966,175,37,266,28
ppo_optuna_gamma_t003_s242_robustness,PPO,2,3002,215.2612411580643,425,success,True,False,100.0,-0.26958781480789185,0.014407405629754066,0.0,0.0,-0.12006598711013794,0.0,1.0,1.0,65.15999999999976,170,25,213,17
ppo_optuna_gamma_t003_s242_robustness,PPO,3,3003,236.1282646606296,499,success,True,False,100.0,0.016042519360780716,-0.0005516314413398504,0.0,0.0,6.161682540550828e-05,0.0,1.0,1.0,77.03999999999967,208,22,253,16
ppo_optuna_gamma_t003_s242_robustness,PPO,4,3004,205.30168010553956,441,success,True,False,100.0,-0.07532711327075958,-0.0005288863321766257,0.0,0.0,0.005593226291239262,0.0,1.0,1.0,66.65999999999974,199,10,220,12
ppo_optuna_gamma_t003_s242_robustness,PPO,5,3005,154.89619875459786,590,success,True,False,100.0,0.21679134666919708,0.03587080165743828,0.0,0.0,0.32708388566970825,0.0,0.0,0.0,85.79999999999974,169,6,271,144
ppo_optuna_gamma_t003_s242_robustness,PPO,6,3006,187.58084093580038,481,success,True,False,100.0,0.07885084301233292,-0.0009031438967213035,0.0,0.0,0.0036087878979742527,0.0,1.0,1.0,77.24999999999964,210,7,256,8
ppo_optuna_gamma_t003_s242_robustness,PPO,7,3007,-48.90156999102612,223,crash,False,False,-100.0,-0.477531373500824,0.1794155389070511,0.1811048984527588,-0.09831880033016205,-0.6556490063667297,0.22181124985218048,1.0,1.0,36.42000000000004,53,34,116,20
ppo_optuna_gamma_t003_s242_robustness,PPO,8,3008,209.36467219238,422,success,True,False,100.0,-0.08407487720251083,-0.0007956409244798124,0.0,0.0,0.0022985627874732018,0.0,1.0,1.0,69.20999999999972,176,7,229,10
ppo_optuna_gamma_t003_s242_robustness,PPO,9,3009,239.36991261874755,526,success,True,False,100.0,0.04057569429278374,-0.001452782191336155,0.0,0.0,-1.627162600925658e-05,0.0,1.0,1.0,82.25999999999964,205,27,269,25
ppo_optuna_gamma_t003_s242_robustness,PPO,10,3010,221.2553495534798,460,success,True,False,100.0,-0.10946826636791229,-0.0008849048754200339,0.0,0.0,0.0023839252535253763,0.0,1.0,0.0,69.89999999999972,200,18,230,12
ppo_optuna_gamma_t003_s242_robustness,PPO,11,3011,218.25057072253165,450,success,True,False,100.0,-0.010775471106171608,-0.0005836033960804343,0.0,0.0,-0.005187778268009424,0.0,1.0,1.0,75.71999999999966,185,8,251,6
ppo_optuna_gamma_t003_s242_robustness,PPO,12,3012,257.46319901526977,541,success,True,False,100.0,0.02634296379983425,-0.0012201810022816062,0.0,0.0,-0.0011371806031093001,0.0,1.0,1.0,82.76999999999961,230,23,272,16
ppo_optuna_gamma_t003_s242_robustness,PPO,13,3013,214.64982240902373,435,success,True,False,100.0,-0.08630456775426865,-0.0008478903910145164,0.0,0.0,-1.984842492674943e-05,0.0,1.0,1.0,68.00999999999974,184,13,224,14
ppo_optuna_gamma_t003_s242_robustness,PPO,14,3014,216.70279298702798,365,success,True,False,100.0,-0.368192583322525,-0.046027734875679016,0.0,0.0,0.2231915444135666,0.0,1.0,1.0,58.79999999999987,88,18,187,72
ppo_optuna_gamma_t003_s242_robustness,PPO,15,3015,233.5809372709375,494,success,True,False,100.0,-0.08733177185058594,-0.0011699700262397528,0.0,0.0,0.0011963369324803352,0.0,1.0,0.0,65.45999999999977,238,24,214,18
ppo_optuna_gamma_t003_s242_robustness,PPO,16,3016,230.23955845737038,362,success,True,False,100.0,-0.48037606477737427,-0.0006133580463938415,0.0,0.0,0.07978824526071548,0.0,1.0,1.0,52.73999999999987,125,30,169,38
ppo_optuna_gamma_t003_s242_robustness,PPO,17,3017,211.0017182357664,465,success,True,False,100.0,-0.12150516360998154,-0.0009503149776719511,0.0,0.0,0.0031445282511413097,0.0,1.0,0.0,70.85999999999973,191,22,232,20
ppo_optuna_gamma_t003_s242_robustness,PPO,18,3018,224.92847100539947,489,success,True,False,100.0,0.01806964911520481,-0.0010299229761585593,0.0,0.0,0.0015883544692769647,0.0,1.0,1.0,77.63999999999966,196,21,255,17
ppo_optuna_gamma_t003_s242_robustness,PPO,19,3019,189.75889942662715,375,success,True,False,100.0,-0.4635279178619385,0.03668411821126938,0.0,0.0,-0.31191784143447876,0.0,1.0,1.0,48.33000000000001,96,106,148,25
ppo_optuna_gamma_t003_s242_robustness,PPO,20,3020,204.45235639806558,478,success,True,False,100.0,0.0906820297241211,-0.0003651642764452845,0.0,0.0,0.006773833651095629,0.0,1.0,0.0,75.65999999999967,206,13,250,9
