evaluation_id,algorithm,n_episodes,seed_start,mean_reward,std_reward,median_reward,min_reward,max_reward,success_rate,mean_episode_length,mean_fuel_proxy,evaluated_at_utc
random_baseline,Random,50,100,-213.0397296324235,122.85772745872602,-203.0109149281952,-526.9339978139395,29.644741022350782,0.0,89.54,7.878599999999999,2026-07-21T10:19:47.819884+00:00
dqn_default_baseline,DQN,50,1000,29.849867729339035,132.89874564303284,61.16664357636597,-302.850730312452,209.27929951471447,0.22,837.16,125.3358000000002,2026-07-21T10:19:54.528889+00:00
ppo_default_baseline,PPO,50,1000,41.80738968434613,79.48879767843904,8.955365378092127,-56.81998880436949,219.73232036380563,0.18,917.1,153.39960000000082,2026-07-21T10:19:59.416552+00:00
ppo_gamma_0999_screen,PPO,30,2000,169.4892808152991,86.63974605156098,206.97785514329027,-50.18438248062393,256.34145213806335,0.8,525.4333333333333,77.72099999999982,2026-07-21T10:20:01.215652+00:00
ppo_lr_0001_screen,PPO,30,2000,-606.242770637593,127.5256413471965,-635.4234573653139,-792.6610128441595,-340.82988333750296,0.0,734.0666666666667,137.5460000000002,2026-07-21T10:20:03.581978+00:00
ppo_nsteps_1024_screen,PPO,30,2000,-63.05692379967372,25.943421457415624,-58.83382978236486,-144.32901013388883,-27.14137673204192,0.0,981.9666666666668,174.9280000000011,2026-07-21T10:20:06.698776+00:00
ppo_gamma_extended_tuning,PPO,50,3000,227.4613698659305,50.91762500511253,238.07136572083013,-25.05794247614181,283.208047444114,0.98,440.32,66.71459999999979,2026-07-21T10:20:09.214370+00:00
ppo_optuna_tuning,PPO,50,4000,266.743053168265,23.829866050854555,267.0754968165092,158.8962563882923,316.22837504348195,0.98,260.68,35.61900000000007,2026-07-21T10:20:11.531221+00:00
dqn_default_selection,DQN,50,5000,32.40568650949546,112.28913414713575,53.22364170923783,-260.0538957708603,222.42080736548843,0.26,851.66,133.62360000000035,2026-07-21T10:20:14.803389+00:00
ppo_default_selection,PPO,50,5000,19.720335902139176,81.61806158344393,-17.121240287945778,-90.58222452630798,223.2679848206528,0.16,896.16,154.28520000000086,2026-07-21T10:20:19.576102+00:00
ppo_gamma_0999_selection,PPO,50,5000,174.44443958558114,90.7318056392136,208.46375728439088,-82.36392655515398,265.3002460548606,0.86,516.94,78.48419999999983,2026-07-21T10:20:22.377654+00:00
ppo_lr_0001_selection,PPO,50,5000,-625.198541091811,128.6376013071599,-638.1172089071836,-839.976408229139,-230.6373699810325,0.0,771.14,144.56400000000042,2026-07-21T10:20:26.497082+00:00
ppo_nsteps_1024_selection,PPO,50,5000,-74.11954623557182,30.35203862409811,-68.16447609603179,-177.31235996585932,-23.070295788618225,0.0,982.06,175.50300000000112,2026-07-21T10:20:31.758679+00:00
ppo_gamma_extended_selection,PPO,50,5000,232.9516304807916,30.42624153246348,234.8077793460146,121.1523924135995,278.32781335358834,1.0,437.84,66.22919999999978,2026-07-21T10:20:34.172771+00:00
ppo_optuna_selection,PPO,50,5000,265.53013436506524,45.2171930040432,272.6046323459563,-15.43098151113,312.060335729616,0.98,246.32,34.78440000000004,2026-07-21T10:20:35.553844+00:00
ppo_optuna_final_100,PPO,100,10000,268.97959142751535,37.46098630100085,272.8618379785345,78.39845522092617,313.5666860242956,0.96,262.8,35.79210000000006,2026-07-21T10:20:41.639967+00:00
