step,action,action_label,reward,cumulative_reward,x,y,vx,vy,angle,angular_velocity,left_contact,right_contact,terminated,truncated
0,3,Orientation droite,-0.12583829203415917,-0.12583829203415917,-0.010055732913315296,1.3943367004394531,-0.5023449659347534,-0.3811882734298706,0.009534280747175217,0.07307787239551544,0.0,0.0,False,False
1,3,Orientation droite,-0.23377395261283482,-0.359612244646994,-0.014971256256103516,1.3851702213287354,-0.4934427738189697,-0.4074079692363739,0.011396601796150208,0.037249937653541565,0.0,0.0,False,False
2,3,Orientation droite,-0.015588975372252206,-0.37520122001924616,-0.019808482378721237,1.3754130601882935,-0.48360905051231384,-0.43364766240119934,0.011284246109426022,-0.002247265074402094,0.0,0.0,False,False
3,3,Orientation droite,0.05546497726024427,-0.3197362427590019,-0.024571895599365234,1.3650565147399902,-0.47434884309768677,-0.46027201414108276,0.009315727278590202,-0.03937402740120888,0.0,0.0,False,False
4,3,Orientation droite,0.3960210088908138,0.0762847661318119,-0.029245758429169655,1.3541072607040405,-0.46311360597610474,-0.48661723732948303,0.005095113068819046,-0.08442036807537079,0.0,0.0,False,False
5,3,Orientation droite,0.18525476725776116,0.26153953338957303,-0.033841706812381744,1.3425508737564087,-0.45335882902145386,-0.5136128067970276,-0.0010766810737550259,-0.1234472244977951,0.0,0.0,False,False
6,3,Orientation droite,-1.1091870236445505,-0.8476474902549774,-0.03836832195520401,1.3303872346878052,-0.4446483254432678,-0.5406288504600525,-0.008989750407636166,-0.1582760512828827,0.0,0.0,False,False
7,3,Orientation droite,-1.2673237977764973,-2.114971288031475,-0.042824745178222656,1.3176276683807373,-0.4358803331851959,-0.56717848777771,-0.01865379884839058,-0.19329890608787537,0.0,0.0,False,False
8,3,Orientation droite,-1.3547062392213423,-3.4696775272528173,-0.04719362407922745,1.3042786121368408,-0.4248899519443512,-0.5934856534004211,-0.030510611832141876,-0.23715801537036896,0.0,0.0,False,False
9,3,Orientation droite,-1.6368062070841336,-5.106483734336951,-0.0514737144112587,1.2903292179107666,-0.4138004183769226,-0.6203233003616333,-0.04458170011639595,-0.28144773840904236,0.0,0.0,False,False
10,2,Moteur principal,-0.5324585863767652,-5.638942320713716,-0.05582685396075249,1.2764465808868408,-0.42065921425819397,-0.6175135374069214,-0.05909096449613571,-0.2902117967605591,0.0,0.0,False,False
11,2,Moteur principal,1.8669680782694058,-3.77197424244431,-0.060126494616270065,1.2631138563156128,-0.4153572916984558,-0.5932015180587769,-0.07356198132038116,-0.2894466519355774,0.0,0.0,False,False
12,2,Moteur principal,3.7431898538987527,-0.028784388545557427,-0.06419887393712997,1.2505868673324585,-0.3933866620063782,-0.5574930310249329,-0.08728860318660736,-0.27455776929855347,0.0,0.0,False,False
13,2,Moteur principal,1.5012115369683101,1.4724271484227527,-0.06834831088781357,1.2387615442276,-0.4004025459289551,-0.5264831781387329,-0.10173488408327103,-0.28895214200019836,0.0,0.0,False,False
14,2,Moteur principal,2.912615187847348,4.385042336270101,-0.07244177162647247,1.2278718948364258,-0.3945836126804352,-0.4850597381591797,-0.11640702933073044,-0.2934698760509491,0.0,0.0,False,False
15,2,Moteur principal,2.501046424666879,6.88608876093698,-0.0762961357831955,1.2174837589263916,-0.37142255902290344,-0.46284735202789307,-0.1303653120994568,-0.27919068932533264,0.0,0.0,False,False
16,2,Moteur principal,2.7420509166372087,9.62813967757419,-0.08004751056432724,1.207932472229004,-0.3610322177410126,-0.42579901218414307,-0.14442911744117737,-0.28130200505256653,0.0,0.0,False,False
17,0,Ne rien faire,-2.4786053003829807,7.149534377191209,-0.08379821479320526,1.1977834701538086,-0.36099642515182495,-0.45249319076538086,-0.15849024057388306,-0.28124773502349854,0.0,0.0,False,False
18,2,Moteur principal,-0.08352717601669041,7.066007201174519,-0.08748722076416016,1.1877137422561646,-0.3548145890235901,-0.4491068124771118,-0.17260105907917023,-0.2822422385215759,0.0,0.0,False,False
19,2,Moteur principal,2.7487093235780096,9.814716524752528,-0.09097547829151154,1.17830491065979,-0.33502107858657837,-0.41983938217163086,-0.18646301329135895,-0.2772645652294159,0.0,0.0,False,False
20,1,Orientation gauche,-2.856802441728233,6.957914083024296,-0.09455223381519318,1.1683342456817627,-0.34625378251075745,-0.44462308287620544,-0.19797107577323914,-0.2301817238330841,0.0,0.0,False,False
21,1,Orientation gauche,-2.5810373032585106,4.3768767797657855,-0.09822235256433487,1.1578044891357422,-0.3580630421638489,-0.4692009687423706,-0.20699645578861237,-0.18052367866039276,0.0,0.0,False,False
22,2,Moteur principal,3.4366308724972443,7.81350765226303,-0.10169468075037003,1.1479805707931519,-0.3383610248565674,-0.4378853440284729,-0.21595443785190582,-0.17917606234550476,0.0,0.0,False,False
23,1,Orientation gauche,-2.285309065330209,5.52819858693282,-0.10523433983325958,1.1375792026519775,-0.3468725383281708,-0.4633311629295349,-0.22314080595970154,-0.14374032616615295,0.0,0.0,False,False
24,2,Moteur principal,1.2671798354815393,6.79537842241436,-0.10868539661169052,1.12739896774292,-0.33785876631736755,-0.45357662439346313,-0.23048867285251617,-0.1469568908214569,0.0,0.0,False,False
25,2,Moteur principal,1.7875980271141543,8.582976449528514,-0.11185131222009659,1.117257833480835,-0.31017398834228516,-0.4517364799976349,-0.2370029240846634,-0.13028499484062195,0.0,0.0,False,False
