#{"t_start": 1784145267.3491302, "env_id": "LunarLander-v3"}
r,l,t
-351.158862,123,0.018513
-123.885491,91,0.040388
-228.105872,66,0.055528
-130.440272,84,0.07563
-146.926519,68,0.093909
-81.78362,99,0.118071
-118.134338,104,0.142925
-64.610855,76,0.161564
-435.868369,90,0.184127
-327.920066,102,0.209048
-321.999575,85,0.229935
-46.446324,95,0.254047
-75.358125,87,0.276034
-61.561904,126,0.308122
-467.535459,99,0.332713
-197.151394,115,0.362507
-306.709019,93,0.386958
-94.313203,62,0.40235
-319.179846,95,0.425398
-149.895769,79,0.445101
-22.553602,94,0.470081
-48.450606,86,0.493747
-243.616214,73,0.511084
-357.406452,116,0.540508
-378.029374,135,0.577665
-146.646737,185,0.630907
-227.881502,113,0.660611
-124.680913,112,0.690849
-78.892411,101,0.717757
-273.954941,139,0.754879
-377.003832,114,0.785373
-72.773102,87,0.808271
-333.170007,140,0.846731
-326.420195,150,0.887673
-286.011207,118,0.91999
-321.161761,108,0.948689
-262.699868,114,0.980223
-244.356452,142,1.022395
-317.589667,131,1.059144
-114.713006,129,1.095603
-134.84948,147,1.137095
-257.464343,116,1.169366
-59.828996,201,1.23181
-47.293005,221,1.307562
-176.567241,214,1.373406
-114.991762,133,1.41381
-67.914202,131,1.451275
-111.09273,229,1.526821
-163.903208,136,1.567398
-341.715437,525,1.839268
-119.332565,1000,2.39388
-129.134115,1000,3.1042
-149.671567,1000,3.893787
-146.745554,1000,4.562214
-160.708817,1000,5.375305
-158.410119,1000,6.31185
-179.92858,275,6.414688
-165.747479,1000,7.09325
-153.3588,1000,8.015865
-315.843354,209,8.090827
-153.541379,1000,9.016064
-118.652378,273,9.131184
-495.738162,167,9.185407
-87.059283,183,9.246647
-178.669564,234,9.334694
-398.375223,190,9.397046
-454.002521,343,9.539289
-680.625874,255,9.628541
-241.068258,164,9.683951
-286.025927,187,9.74837
-122.455589,1000,10.791438
-332.040353,163,10.844143
-147.844607,1000,11.921226
-391.57677,357,12.077897
-294.448937,363,12.234499
-324.354412,185,12.295551
-148.058608,1000,13.084444
-451.567164,90,13.11223
-276.306275,115,13.148291
-264.357695,238,13.230982
-346.544704,160,13.28127
-70.942076,187,13.343799
-370.552617,154,13.389987
-130.584261,144,13.437011
-414.149133,89,13.462898
-202.899284,295,13.578774
-112.955851,1000,14.372343
-115.150157,1000,15.826999
-421.571627,836,16.495425
-335.585282,179,16.554694
-427.111419,173,16.610905
-352.338481,179,16.669996
2.335893,174,16.729863
-325.810913,152,16.778325
-368.707429,242,16.868565
-370.536458,169,16.92292
-212.49951,249,17.016927
-115.080645,1000,17.669038
-147.297826,1000,18.693855
-319.843737,262,18.796814
-145.699008,1000,19.457165
-139.808225,216,19.533808
-268.379792,195,19.598851
-294.874749,199,19.665962
-323.070161,324,19.789663
-286.168735,250,19.878242
-142.808688,1000,20.660604
-197.725567,242,20.751964
-114.959207,1000,21.765111
-100.852816,1000,22.487525
-194.906317,335,22.627634
-104.654348,419,22.832339
-170.039472,213,22.905603
-416.67425,287,23.014665
-118.45756,1000,23.997506
-95.304259,578,24.330026
-108.056942,378,24.485629
-177.229346,1000,25.560565
-82.983564,1000,26.160504
-72.072379,462,26.345949
-57.286992,548,26.62653
75.051668,723,27.19831
-99.931456,1000,27.918372
-62.873565,1000,28.54173
-105.851238,481,28.780752
-233.892939,399,28.989607
-263.281289,461,29.238153
-14.241249,1000,29.907886
124.532699,752,30.464487
-216.403141,387,30.646565
74.343294,957,31.284108
-31.648903,1000,31.94375
198.84426,485,33.060322
192.843102,501,33.294734
47.272266,1000,34.012542
148.636761,717,34.47895
175.686842,759,34.90121
-288.950547,517,35.262028
-56.734452,353,35.413709
64.539073,1000,36.145019
-198.891463,360,36.298453
-233.066931,494,36.582019
153.454786,708,36.946602
106.762224,976,37.99177
176.228038,654,38.462552
93.176991,905,39.09593
-237.785918,458,39.305875
-48.396654,554,39.590309
-250.788114,449,39.84444
27.678993,1000,40.626263
-206.297729,321,40.771893
143.544943,612,41.102652
28.28439,1000,41.941252
142.387832,862,42.481071
116.374474,1000,43.15634
180.88836,633,43.538292
228.503221,437,43.782784
46.821403,1000,44.603839
-163.08558,295,44.723904
112.259398,985,45.409448
192.209361,805,45.861438
-44.794358,1000,46.468995
-184.676355,380,46.626006
-146.536084,333,46.757751
-162.267499,243,46.844048
-10.195628,354,47.025729
203.001101,438,47.247891
-15.797246,343,47.399169
-229.602437,439,47.63914
115.826838,814,48.157352
95.42118,1000,48.688879
134.118593,1000,50.017751
-37.492044,1000,50.714223
164.786547,588,51.138677
-210.348748,325,51.278061
-255.424776,571,51.566824
75.340914,1000,52.204868
87.112231,1000,52.85421
99.528015,1000,53.714759
104.70887,1000,54.392252
-221.395581,323,54.521233
-224.450861,536,54.843059
-233.237283,397,55.030144
121.616861,1000,55.859544
88.894565,1000,56.508524
-226.359484,418,56.697282
94.127655,1000,57.418665
108.429955,1000,58.03981
36.820967,1000,59.04198
227.24876,523,59.313608
102.840343,761,59.831273
-92.201881,434,60.020699
-113.676039,537,60.322255
-121.531843,691,60.669743
51.986793,1000,61.236786
-35.859193,1000,61.918098
-234.012543,449,62.124538
-87.790162,1000,62.850893
170.837442,580,63.241421
-267.396244,391,63.424291
99.386197,1000,64.016626
201.887418,978,64.786114
-50.942774,328,64.917017
-30.390633,397,65.083477
188.436986,467,65.324311
