#{"t_start": 1784145339.4240866, "env_id": "LunarLander-v3"}
r,l,t
-132.61811,69,0.020839
-159.770347,116,0.048407
-109.238754,64,0.06337
-283.31252,90,0.085086
-427.114696,107,0.110524
-432.516348,91,0.132173
-195.755646,96,0.154419
-142.838957,91,0.175326
-210.870259,126,0.206284
-399.452234,104,0.23041
-308.591713,77,0.248214
-98.46328,58,0.26111
-208.600565,96,0.284018
-113.725724,67,0.298908
-117.508934,64,0.31406
-128.480668,71,0.330221
-564.602868,84,0.350265
-158.544136,92,0.372457
-101.995417,78,0.390789
-100.784305,88,0.410973
-213.25828,75,0.428611
-220.787112,128,0.459128
-446.113675,89,0.479626
-287.216554,106,0.792236
-334.681659,130,0.824044
-95.2686,113,0.850777
-111.851371,67,0.86616
-106.427137,126,0.896368
-103.837673,130,0.927449
-113.124773,88,0.948384
-57.004464,70,0.965233
-118.559772,110,0.991218
-195.822266,88,1.012761
-169.472701,71,1.029158
-292.746482,96,1.051403
-170.782163,82,1.070334
-136.281797,94,1.092001
-102.129331,117,1.119545
-98.428387,92,1.141155
-93.834377,92,1.162678
-346.205318,132,1.193519
-139.315403,96,1.215974
-208.863207,102,1.23998
-296.457223,120,1.562161
-292.886834,117,1.590984
-49.555813,114,1.619311
-72.671243,97,1.642507
-101.86831,72,1.659693
-143.900586,98,1.683629
38.733625,85,1.703735
-82.400499,78,1.722311
-99.14051,65,1.737333
-93.597989,100,1.762027
-329.115371,108,1.788625
-202.223532,120,1.818047
-224.755357,96,1.841832
-118.13731,69,1.858409
-56.32719,139,1.892358
-69.46879,73,1.909854
-322.862152,110,1.936304
-288.481237,139,1.971457
-109.365612,113,1.999948
-125.317256,95,2.022417
-113.559773,77,2.040892
-171.402243,103,2.35367
-118.393597,67,2.369662
-269.937894,81,2.388891
-290.480664,95,2.411138
-360.95936,114,2.438186
-81.347227,69,2.454657
-282.24094,111,2.481079
-227.714603,100,2.504629
-52.743614,107,2.530531
-111.39435,80,2.549449
-58.666039,67,2.564745
-231.753821,99,2.588555
-91.771979,68,2.604349
-250.596566,80,2.623755
-104.282855,100,2.648099
-572.958647,93,2.670217
-185.066465,119,2.698445
-240.808191,111,2.72538
-416.273253,137,2.759561
-183.148025,111,2.785975
-139.360691,123,2.816115
-122.664672,90,3.130278
-287.392672,105,3.155441
-151.900701,116,3.182768
-185.397163,139,3.217034
-57.287185,77,3.235622
-312.477146,96,3.258222
-107.341093,75,3.276074
-106.197345,80,3.295208
-96.174244,93,3.317473
-167.314342,86,3.338016
-184.306705,123,3.367252
-219.845212,100,3.391049
-47.116334,77,3.409516
-345.759285,82,3.429353
-87.793004,71,3.446337
-179.165483,128,3.477118
-242.546547,116,3.505136
-223.532218,85,3.526053
-288.871317,88,3.546844
-69.713721,68,3.562928
-354.512591,107,3.588415
-187.076017,125,3.910872
-106.006993,101,3.936587
-82.709138,71,3.953269
-299.286081,145,3.989774
-53.569468,73,4.006845
-174.497345,157,4.046746
-151.182983,116,4.074566
