#{"t_start": 1784146384.278301, "env_id": "LunarLander-v3"}
r,l,t
67.577845,140,0.416614
147.347683,1000,0.623579
147.906776,1000,4.316267
146.757311,1000,4.522
24.946059,180,4.558395
152.451013,1000,5.065737
24.144344,218,5.109124
11.375196,163,5.142286
32.475791,147,5.17144
15.431311,188,5.20849
-11.081598,205,5.249321
-24.992477,194,5.287419
-69.289757,199,5.326624
60.913795,154,5.357345
142.165785,1000,5.866052
29.228133,196,5.905147
-27.155986,208,5.946529
47.684533,161,5.978786
58.45677,180,6.014841
51.892209,193,6.053346
19.579248,158,6.084485
152.706648,1000,6.590768
23.777476,203,6.631309
-16.925199,199,6.671125
248.773981,333,6.738157
0.100563,175,6.773329
-56.090752,169,6.807113
22.622169,200,6.846605
44.964591,149,7.179628
-3.661429,184,7.216539
261.030773,355,7.287892
61.381041,189,7.325493
114.194468,1000,7.529693
9.826079,195,7.568495
271.549099,317,7.997129
129.749279,1000,8.197886
19.727129,231,8.243434
249.012501,802,8.705586
-15.443291,220,8.749254
38.502555,200,8.788736
53.662097,232,8.835805
-67.4088,260,8.887386
271.415052,255,8.938728
-34.620251,182,8.975131
30.664,257,9.025467
171.180691,816,9.491693
246.284556,883,9.669273
10.668503,197,9.708214
244.993817,375,10.084452
226.399407,398,10.165205
56.890766,228,10.210211
247.707235,364,10.282508
231.358809,351,10.351603
243.755211,329,10.416304
223.011324,620,10.844018
-25.687421,225,10.888703
259.13649,377,10.963672
-38.824481,229,11.008777
256.444976,469,11.101999
251.774515,354,11.172976
209.892515,385,11.551586
-30.554893,223,11.595821
225.68372,495,11.69519
-26.620284,265,11.747306
233.926517,331,11.812257
-32.27486,232,11.857927
273.534719,307,12.226531
240.168806,414,13.969277
193.752439,344,14.037613
-134.156333,221,14.081222
-38.627224,192,14.119861
232.750022,495,14.219362
229.63601,386,14.598514
-35.089192,213,14.641313
-29.022313,222,14.685637
217.865422,353,14.755512
-32.873463,302,14.81601
255.671126,369,14.888662
14.115909,295,14.946754
254.198582,344,15.319284
237.358066,519,15.422711
230.464827,328,15.487355
237.672653,387,15.563613
239.930399,361,15.635041
-37.336241,277,15.689337
134.081264,554,16.104556
238.877747,323,16.168678
174.220943,659,16.302929
-29.459138,232,16.348813
246.695485,286,16.405526
259.946371,409,16.789923
241.78965,401,16.868874
225.941168,396,16.9461
252.197469,358,17.016226
263.832465,477,17.110721
227.863562,400,17.496943
19.654448,322,17.560392
211.604929,434,17.64644
243.953148,381,17.721302
226.6495,366,17.793311
209.018038,547,18.207758
250.626046,353,18.277046
255.756246,345,18.345659
262.01754,240,18.393393
248.725432,395,18.47136
238.549533,417,18.857275
178.233777,553,18.968354
209.307884,436,19.053338
220.109169,363,19.12531
209.188477,436,19.212885
-48.375716,339,19.585405
241.028201,541,19.692973
217.792247,485,19.788565
-37.42403,367,19.860017
242.089191,386,19.935532
226.959571,415,20.32561
227.609787,480,20.4213
205.078898,479,20.516732
274.046682,341,20.584131
-79.02594,303,20.644106
