#{"t_start": 1784145503.742744, "env_id": "LunarLander-v3"}
r,l,t
-293.912549,98,0.026612
-128.061577,108,0.052069
-396.527674,104,0.076435
-211.376085,81,0.095364
-128.104891,105,0.119953
-140.544617,98,0.143289
-192.082015,110,0.168561
-126.186564,61,0.182586
-157.587321,67,0.197527
-364.698274,89,0.219781
-162.816989,95,0.24159
-104.038059,80,0.260654
-383.730749,103,0.284634
-98.528911,97,0.306863
-106.683481,84,0.326393
-173.117923,81,0.345005
-181.25634,75,0.36252
-195.243445,117,0.390443
-184.714076,74,0.407566
-230.255633,75,0.42519
-95.020747,77,0.442811
-106.492813,81,0.461776
-156.771465,87,0.482077
-90.253026,86,0.799037
-195.371072,85,0.818887
-96.983056,68,0.834462
-252.716127,70,0.851583
-86.170592,85,0.871392
-173.689649,105,0.896307
-139.56224,68,0.912054
-227.762339,144,0.947824
-124.495692,101,0.971473
-75.661573,93,0.993376
-324.432076,157,1.032201
-310.314538,86,1.052241
-380.231711,109,1.078524
-185.456717,97,1.100972
-506.148377,114,1.128316
-243.613794,126,1.158463
-118.12356,103,1.181829
-98.57564,104,1.206622
-85.739096,85,1.226505
-239.404814,83,1.246286
-97.319677,122,1.579121
-146.436786,97,1.602555
-359.40373,84,1.623129
-379.915123,126,1.653378
-73.390682,63,1.668721
-261.306667,81,1.687832
-294.481176,129,1.718491
-88.813391,157,1.757543
-56.59757,129,1.789077
-383.032282,104,1.813805
-250.302267,85,1.834232
-206.887606,137,1.86838
-194.54729,151,1.906057
-263.138361,97,1.928874
-75.287122,83,1.948313
-251.753264,105,1.972445
-103.30659,68,1.987793
-445.672213,96,2.009815
-60.222263,61,2.023736
-253.687119,103,2.048538
-123.779008,103,2.371466
-186.229637,129,2.403342
-144.829821,73,2.420531
-243.323087,160,2.460015
-189.470429,116,2.487776
-136.168815,183,2.535048
-325.356577,129,2.566561
-17.609284,133,2.597801
-71.621771,83,2.617509
-102.946678,120,2.645949
-366.014695,108,2.672363
-98.127449,79,2.691154
-126.919239,94,2.714845
-71.244851,99,2.739232
-92.488724,79,2.758067
-174.139577,92,2.779892
-119.543365,59,2.793661
-218.366335,89,2.814951
-242.56358,98,2.838689
-113.134878,85,3.170026
-162.74331,115,3.198197
-74.795064,120,3.227789
-138.188079,96,3.249844
-89.541033,96,3.272669
-128.291606,94,3.294939
-197.409695,109,3.320381
-414.658335,149,3.357989
-135.406678,167,3.3996
-225.336119,116,3.428189
-56.119904,65,3.443526
-88.894966,63,3.457711
-162.484917,114,3.485642
-224.903556,114,3.513641
-128.185888,70,3.530201
-239.16404,149,3.56715
-159.941442,84,3.588122
-78.326852,153,3.626181
-89.704936,89,3.647335
-182.514125,138,3.981247
-81.238263,95,4.004092
-113.688349,108,4.029338
-312.322451,132,4.06137
-381.935592,133,4.094147
-136.843153,97,4.117248
-212.476908,140,4.151307
-90.523471,87,4.172368
6.570809,92,4.19593
-360.320697,100,4.221664
-101.845556,98,4.245453
-355.080363,87,4.266356
-172.854709,132,4.298741
-270.721463,94,4.321631
-427.896896,136,4.35488
-112.155223,78,4.373212
-208.005764,147,4.410043
-163.937371,87,4.431166
-78.640558,106,4.456726
-379.135075,160,4.798091
-199.849267,109,4.824252
-166.192507,124,4.85574
-251.61215,132,4.888081
-136.02262,81,4.907245
-108.19043,137,4.940379
-110.064813,80,4.958812
-121.458048,110,4.98492
-307.85014,89,5.005681
-186.823117,129,5.036206
-131.725467,76,5.055109
-80.147234,73,5.072585
-122.499456,106,5.097383
-60.84966,78,5.116057
-104.589534,80,5.134786
-285.219007,106,5.159963
-78.511293,161,5.20113
-113.754201,136,5.234146
-107.391051,70,5.25039
-276.036672,140,5.582183
-60.429123,79,5.601083
-86.736131,117,5.628626
-94.825469,115,5.656064
-221.790396,131,5.688925
-229.69902,111,5.715714
-215.940207,93,5.738626
-301.047004,113,5.765638
-107.732459,150,5.802958
-281.928747,92,5.824969
-50.155449,111,5.851652
-62.920598,68,5.86745
-79.832884,130,5.898954
-112.843183,138,5.932949
-30.874759,94,5.955623
-111.700229,126,5.986581
-37.520946,77,6.004982
-269.227178,96,6.028855
-280.751208,151,6.364439
-34.994732,177,6.41199
-160.891973,100,6.436272
-188.519656,115,6.464206
