#{"t_start": 1784145559.1752927, "env_id": "LunarLander-v3"}
r,l,t
-146.592893,72,0.019414
-123.799733,67,0.034805
-326.53836,89,0.055643
-228.358216,66,0.071136
-98.414654,71,0.087433
-239.888842,96,0.109926
-176.048358,125,0.140001
-83.686313,68,0.155885
-283.230466,95,0.178473
-155.267686,92,0.199201
-84.209363,58,0.213035
-90.713092,106,0.238075
-333.762975,99,0.414915
-131.283087,99,0.438225
-118.305051,97,0.461143
-117.400598,77,0.479079
-62.174413,99,0.502403
-150.870894,84,0.521801
-251.991825,108,0.547277
-93.953615,77,0.56504
-206.036623,83,0.584417
-192.475552,76,0.601869
-109.611748,142,0.636091
-100.92986,72,0.805086
-144.544791,133,0.837309
-255.060789,138,0.871962
-140.041242,82,0.891726
-140.994078,82,0.910719
-0.194472,67,0.926422
-111.204576,98,0.949208
35.259147,126,0.979953
-58.421653,66,0.995405
-104.371052,113,1.021537
-95.055103,77,1.193377
-116.311088,84,1.214125
-150.593037,100,1.238179
-205.578889,97,1.261219
-115.422649,82,1.280857
-162.543895,117,1.308006
-103.056316,80,1.326489
-122.727728,61,1.340523
-130.575813,109,1.366834
-93.966214,67,1.382352
-80.197508,94,1.404798
-6.646679,109,1.581118
-132.097657,144,1.617747
27.651906,89,1.638687
-244.334141,144,1.673921
-63.414681,79,1.692229
-190.862636,88,1.712957
-73.113793,107,1.738508
-31.02089,74,1.756166
-206.189912,120,1.785318
-77.792174,74,1.803093
-180.707582,126,1.98517
-86.830561,74,2.003037
-276.520695,121,2.032662
-96.868406,93,2.054669
-251.142748,109,2.080711
-222.431619,86,2.101344
-103.740403,134,2.134394
-123.072907,72,2.151265
-73.989915,62,2.165213
-188.806912,117,2.19308
-275.277668,116,2.222465
-151.954856,129,2.405551
-281.490112,110,2.431845
-68.22797,78,2.450246
-65.611453,97,2.474006
-392.253147,136,2.50719
-326.191392,105,2.531664
-379.641178,169,2.575118
-67.631208,184,2.622648
-111.168597,80,2.792593
-251.605778,142,2.82752
-458.238252,153,2.865287
-56.553178,77,2.883442
-133.754893,100,2.907781
-60.659455,125,2.938311
-273.857867,88,2.959151
40.714804,161,3.000552
-137.189345,93,3.022872
-119.396733,112,3.201279
-168.131784,121,3.23107
-68.041124,74,3.248416
-158.157537,112,3.275882
-53.988652,75,3.293892
-119.376936,68,3.309968
-116.262162,93,3.332168
-93.957216,87,3.352517
-63.725852,147,3.389383
-62.74762,76,3.407218
-142.163068,94,3.429619
-20.002508,82,3.600103
-73.843978,94,3.622741
-75.538609,91,3.644699
-228.052931,137,3.678356
-32.271335,148,3.714694
-67.709769,89,3.73595
-8.389849,118,3.764599
-71.466556,104,3.789479
-58.489806,151,3.82768
-200.033755,146,4.015825
-163.933631,176,4.060906
-279.88748,135,4.09456
-257.362128,144,4.131515
-270.850599,169,4.17577
-250.267518,112,4.203614
-308.148586,169,4.399221
-76.886814,90,4.420868
-76.215795,117,4.450114
-306.790642,211,4.506573
-100.216134,134,4.540403
-93.351771,235,4.605784
-318.195119,174,4.649852
-9.263482,140,4.835245
-107.044888,85,4.856051
-54.853769,104,4.881069
-27.167819,94,4.903403
-277.408393,167,4.946963
-88.133477,161,4.988538
-111.263477,104,5.013993
-65.65712,87,5.034961
-179.34117,118,5.063157
-0.853293,170,5.260652
-55.536649,99,5.285131
-276.912521,112,5.312881
-52.032251,209,5.37025
-30.791123,138,5.40514
-166.39824,135,5.439992
-129.794048,161,5.480313
-58.663687,212,5.689598
-80.512434,114,5.718616
-24.461808,142,5.755323
-165.357856,186,5.802879
-225.401095,121,5.83306
-92.465115,164,5.875139
2.518955,159,6.068197
-41.682004,178,6.116575
-141.272674,159,6.157162
-194.288103,196,6.208858
-466.835913,211,6.268083
-47.897212,142,6.304892
-249.673562,133,6.489954
-125.26496,247,6.559546
-123.043434,193,6.609229
27.211438,1000,7.424985
-146.16885,115,7.454529
-35.800125,150,7.49202
10.53088,110,7.518404
