#{"t_start": 1784145627.4590414, "env_id": "LunarLander-v3"}
r,l,t
-428.617484,111,0.072043
-113.014236,85,0.126483
-110.278142,77,0.175158
-182.525426,84,0.230278
-121.305938,67,0.273969
-242.747928,86,0.331486
-102.984813,61,0.370166
-204.055127,84,0.423185
-105.042164,80,0.47378
-137.920574,91,0.533892
-513.326699,100,0.598557
-116.658159,119,0.932567
-291.466098,69,0.977084
-98.632021,70,1.021979
-162.594082,85,1.075461
-128.583771,98,1.139382
-210.105922,77,1.190105
-351.88261,113,1.261924
-94.013533,104,1.328246
-256.521803,96,1.391188
-191.346597,102,1.458219
-54.048571,73,1.505697
-73.725564,68,1.548739
-142.360952,94,1.864449
-64.362472,121,1.944233
-209.237072,94,2.006648
-252.589121,93,2.067481
-68.201128,75,2.117244
-107.337277,82,2.170729
-124.477964,124,2.255591
-203.637572,99,2.319852
-104.2231,73,2.366857
-321.714331,107,2.438293
-290.068443,142,2.784583
-182.68573,117,3.310765
-99.726207,96,3.375974
-312.13569,151,3.481078
-37.657339,122,3.563329
-254.26241,102,3.632706
-88.994909,94,3.693996
-88.773916,107,3.766669
-220.690201,104,3.837587
-110.578375,109,4.16224
-84.549401,71,4.211673
-118.871902,143,4.308755
-86.347243,77,4.361634
-118.980541,123,4.443789
-52.566944,70,4.491512
-109.110353,101,4.560114
-230.199031,76,4.611412
-181.880533,83,4.667586
-132.741804,85,4.723031
-189.745339,111,4.798862
-115.643138,101,5.117282
-97.605821,73,5.168271
-89.980842,83,5.224024
-262.478135,96,5.287503
-249.364836,135,5.381752
-112.387723,96,5.44562
-81.652129,80,5.500054
-87.016691,96,5.563554
-120.242432,97,5.631028
-78.599664,75,5.679916
-278.801663,124,5.764269
-226.511548,128,6.105359
-115.294168,119,6.657712
-75.153288,66,6.701278
-306.72845,136,6.793348
-82.357054,83,6.847673
-285.336411,161,6.955003
-209.240145,110,7.033701
-127.446195,123,7.117021
-108.673319,62,7.156697
-87.494891,89,7.469819
-31.400941,73,7.520286
-117.114479,80,7.576558
-203.024997,128,7.665176
-78.4166,123,7.751538
-57.592064,104,7.82447
-72.044445,65,7.86917
-156.073924,126,7.953227
-28.191311,87,8.012998
-183.452659,162,8.131123
-145.832696,138,8.477926
-89.49948,94,8.54434
-89.43218,86,8.601996
-148.90557,103,8.67202
-143.762059,132,8.765011
-125.658946,125,8.850492
-79.021599,167,8.97024
-70.504324,74,9.022508
-9.628021,121,9.112868
-265.688748,137,9.482406
-56.738953,133,9.957152
-47.797929,130,10.049362
-111.888287,80,10.106692
-83.27166,107,10.184972
-54.422739,101,10.260139
-148.606945,141,10.361917
-73.186007,131,10.457722
-37.446133,142,10.813337
-23.728264,81,10.870733
-105.242475,82,10.932298
-74.99254,116,11.015602
-87.307092,139,11.117473
-306.411646,143,11.217134
-91.505812,112,11.295971
-50.531892,109,11.373544
-54.419294,71,11.42427
-17.660918,124,11.513194
-70.197507,75,11.817463
-44.730121,113,11.898924
-52.911979,142,12.01588
-63.200118,155,12.165833
-77.062639,130,12.306528
-4.673714,119,12.43693
-19.093993,101,12.563049
-28.060138,88,12.680012
-74.516337,121,13.113816
29.424218,137,13.304514
