#{"t_start": 1784297818.6760895, "env_id": "LunarLander-v3"}
r,l,t
-175.827615,76,0.022136
-100.245847,89,0.044089
-101.798552,112,0.072374
-106.520859,74,0.090774
-115.561077,90,0.113158
-136.661157,92,0.135671
-207.815347,78,0.154983
-129.110177,81,0.174869
-444.106031,100,0.200746
-165.214185,117,0.230123
-74.768103,68,0.247299
-185.119738,100,0.27278
-162.000168,96,0.296491
-114.698701,70,0.31374
-144.944383,102,0.339095
-301.188778,111,0.366463
-454.668901,114,0.395335
-319.605375,81,0.415593
-362.360442,89,0.438086
-105.787219,93,0.461165
-135.537077,101,0.485822
-77.623372,103,0.511341
-337.747349,85,0.851975
-137.390919,90,0.874883
-73.849923,61,0.889759
-108.237382,72,0.907328
-77.770732,103,0.933274
-88.456947,70,0.950606
-143.978713,122,0.981185
-99.061107,95,1.004899
-538.539085,145,1.042985
-63.726757,80,1.062838
-114.362235,80,1.082819
-125.285665,85,1.104015
-201.449688,79,1.1244
-317.040266,104,1.150172
21.263092,113,1.179106
-353.825607,138,1.215241
-106.811139,154,1.256753
-351.085228,125,1.289401
-97.607083,130,1.32298
-228.385165,110,1.351733
-73.736599,65,1.685715
-170.539755,69,1.702892
-367.410961,125,1.735579
-223.05768,110,1.764426
-229.727348,83,1.785389
-84.759265,53,1.798317
-93.996639,68,1.814941
-132.665706,114,1.843715
-78.934351,128,1.876684
-126.739274,96,1.901286
-94.613566,60,1.916017
-119.162964,110,1.943653
-263.82774,90,1.966741
-75.285578,58,1.980945
-115.011775,82,2.001453
-99.192007,68,2.017934
-94.933248,101,2.044254
-204.485632,104,2.070085
-59.008571,59,2.084389
-108.551745,100,2.10949
-49.560934,125,2.141409
-94.467365,64,2.15716
-100.737401,84,2.177999
-34.509822,151,2.535247
-90.692733,138,2.572475
-139.101672,78,2.592506
-100.088041,118,2.623082
-211.526154,88,2.646084
-89.458199,121,2.677265
-250.632359,136,2.712686
-234.336334,115,2.742627
-68.155689,138,2.779226
-108.982745,72,2.796904
-75.65542,63,2.812846
-115.074018,82,2.833285
-113.963547,69,2.850394
-303.849131,126,2.882973
-122.331229,81,2.903195
-249.728759,128,2.93645
-109.383603,80,2.956752
-105.733444,127,2.989134
-308.91207,138,3.025224
-105.075465,103,3.361899
-56.394049,77,3.381243
-91.97701,94,3.405029
-29.833766,151,3.445571
-94.24533,163,3.490131
-150.634266,73,3.508444
-160.492149,86,3.530483
-89.371189,70,3.548044
-217.304502,116,3.577736
-212.431894,178,3.626241
-171.959188,106,3.653893
-29.724675,118,3.6847
-141.112037,113,3.713662
-52.750689,78,3.733051
-122.480779,64,3.748636
-201.903616,141,3.784992
-73.466402,104,3.81133
-67.991788,113,3.839663
-78.244515,87,3.861601
-217.291834,175,4.219803
-44.511013,101,4.245802
-105.572312,82,4.267228
-107.330021,153,4.309362
-70.259923,84,4.330648
-80.687467,110,4.3594
-78.579615,156,4.401192
-70.577843,93,4.425166
-83.734354,75,4.444216
-123.220899,129,4.478552
-84.738538,159,4.520985
-126.802969,118,4.55153
-119.802357,83,4.572553
-100.40742,268,4.655818
-316.048357,136,4.692028
-96.477598,97,4.716943
-80.699837,127,5.062201
-81.319515,108,5.09051
11.617239,154,5.131944
-34.172167,96,5.156265
-35.598394,122,5.188283
-242.188905,154,5.230295
-206.508558,113,5.26044
-107.998207,92,5.283681
-55.683441,163,5.328431
-217.864952,222,5.394397
-86.85451,144,5.432516
-39.526088,170,5.479665
44.181608,100,5.505722
-74.50764,129,5.540133
-91.809637,181,5.590396
-114.262461,255,5.981734
-69.688346,85,6.003855
-26.906116,193,6.058002
-67.113306,162,6.102051
-79.357115,249,6.177645
-146.524554,244,6.248509
-51.287335,91,6.272374
-58.811679,135,6.309121
-11.383842,115,6.339386
-216.246965,242,6.413105
-72.26868,165,6.457844
-194.121381,228,6.840132
-56.993424,96,6.865593
-126.952874,211,6.925023
-68.747099,77,6.944607
-94.464305,76,6.963743
30.287466,153,7.005684
-34.958244,251,7.08328
22.518178,159,7.127923
-95.265717,215,7.190044
-24.460498,117,7.221496
-191.812818,278,7.319901
-141.179196,391,7.793966
-120.277881,207,7.85415
-20.937879,1000,8.435284
31.252702,225,8.504177
-118.634783,425,8.656866
-148.671095,188,9.020908
-99.808549,123,9.054107
-147.424328,288,9.148572
-106.14314,261,9.230772
-37.375549,216,9.293782
-134.933042,347,9.407882
-160.716364,373,9.546333
33.432819,220,9.614478
-41.815341,325,10.041922
-201.174561,497,10.256565
28.054876,357,10.381299
-86.188712,234,10.454041
17.214722,235,10.530667
7.665866,224,10.597692
12.029075,1000,12.243177
-67.15362,299,12.358298
-184.838917,429,12.524881
28.304455,1000,13.394743
-140.687945,310,13.495956
-165.009459,913,14.186464
5.593959,1000,15.005915
-106.171623,1000,15.928656
-33.962186,1000,16.911868
23.006984,1000,17.574401
16.872352,1000,18.76934
-94.530324,403,18.942813
-85.54286,421,19.109067
-28.627336,358,19.247226
-97.441284,479,19.76776
10.741904,1000,20.367905
43.490852,1000,21.074988
61.339141,1000,22.024308
-29.237958,204,22.087961
163.856996,577,22.322774
-20.795053,275,22.410967
-17.07772,363,22.867111
84.985057,1000,23.502147
93.036737,1000,24.416506
-127.227898,335,24.53044
104.039827,1000,25.019749
-68.148536,445,25.511248
-4.426596,289,25.617341
-83.480984,318,25.723763
119.797706,1000,26.422931
-66.245642,323,26.535986
-23.5623,361,26.96998
-48.377248,401,27.122842
-27.719263,365,27.26061
-66.811318,299,27.364411
-60.489998,180,27.415253
-53.152176,238,27.488155
-82.551531,436,27.956091
109.765628,1000,28.686284
-45.404051,298,28.790156
-77.664925,267,28.876514
-51.512627,330,28.988531
-17.863759,408,29.470137
-41.916767,310,29.574877
78.820103,1000,31.355802
-61.118666,270,31.4449
-61.533765,303,31.874622
105.13037,1000,32.500347
56.125051,1000,33.344945
-72.313363,225,33.411477
114.963718,1000,33.973012
8.548297,1000,34.784091
-48.342513,182,34.835251
-78.383037,294,34.93901
-60.802362,170,34.984747
-78.927461,171,35.031139
-118.875103,242,35.104632
108.559486,1000,35.881744
-44.001577,344,36.010312
-116.553021,208,36.072331
-154.194851,166,36.117911
-106.240009,140,36.153699
-117.210252,166,36.201055
-87.417254,167,36.246105
-10.35744,367,36.368791
-131.68058,569,36.901388
-80.298492,161,36.944826
-76.733628,234,37.015243
64.647854,1000,37.434695
-23.469511,684,38.075661
105.081546,1000,38.807145
-61.878811,180,38.856459
-6.193032,385,39.029736
167.836846,726,39.643763
-130.46786,182,39.694923
157.09331,519,39.979238
-82.062019,332,40.10099
-12.72701,235,40.178575
155.848757,931,41.020869
-75.480125,184,41.072231
-137.22256,244,41.147444
46.334212,669,41.471922
-54.120227,220,41.852111
107.573308,1000,42.513041
80.995226,1000,43.435275
185.953941,567,43.658664
131.201292,415,43.82339
52.701476,1000,44.795115
87.305692,663,45.097233
-127.811912,587,45.400663
49.415318,1000,46.506168
-95.727609,195,46.560904
-46.388784,372,46.715609
73.398834,1000,48.424818
-94.305946,173,48.474248
131.599059,1000,49.64828
-543.745332,526,49.852578
-58.33071,274,49.941877
-98.237999,212,50.006329
-119.403619,258,50.399718
111.696799,1000,50.961077
-69.509051,355,51.100705
-194.355198,313,51.204423
-6.575896,553,51.779189
-80.162928,660,52.085371
-96.604739,198,52.143927
82.570413,1000,53.157874
-63.418614,190,53.210585
40.42422,1000,53.71141
-97.325738,276,53.807594
155.305663,1000,54.719634
69.747069,1000,55.578358
100.322322,1000,56.628933
89.493798,1000,57.194361
109.405458,1000,58.123427
-126.783713,400,58.277488
82.568427,1000,59.000402
92.86097,1000,60.143574
-70.921853,301,60.253246
81.741792,1000,61.092332
-395.780791,368,61.235835
-63.622538,297,61.34298
54.415456,1000,62.314702
-170.008617,745,62.983296
-153.765571,348,63.122121
-127.536311,718,63.453426
53.437189,1000,64.649936
175.224982,344,64.779459
-193.483046,655,65.107738
55.32989,1000,66.435169
-87.541225,479,66.661791
-117.362765,446,66.86073
41.48149,1000,69.08817
-44.638152,1000,69.944896
68.261071,1000,70.925809
95.135344,1000,71.625291
75.548999,916,72.740987
-19.339022,1000,73.263244
13.188869,1000,74.383147
7.923125,1000,75.460957
-85.861203,477,75.684479
150.530536,593,76.246813
-82.719003,289,76.347134
10.646865,1000,76.914456
-91.334675,495,77.148072
-408.988066,873,78.015271
-52.779437,167,78.060116
-124.104379,752,78.420653
-125.949988,285,78.522203
-149.591234,379,78.98654
67.655306,1000,79.583076
53.554219,1000,80.907228
109.733068,1000,81.685907
139.689626,808,82.025112
-179.480582,683,82.748781
54.519235,1000,83.37056
17.77699,1000,84.136438
97.320509,1000,84.791453
-90.428447,473,84.960889
166.646971,535,85.504488
71.772364,1000,85.99585
72.376017,1000,87.358395
-82.41197,824,87.720815
12.504785,1000,89.54298
116.734787,626,89.853181
216.640244,605,90.12691
-34.436738,1000,91.11069
-100.694838,197,91.166193
-46.784577,1000,91.933555
105.470824,726,92.554519
5.106744,1000,93.104609
201.04849,586,93.407823
125.02969,781,94.062377
-120.483131,301,94.168709
179.602536,868,94.871236
-79.281522,555,95.491934
220.321703,508,95.708642
-116.77652,188,95.759805
58.132551,968,96.295308
-58.556168,442,96.761279
39.249395,1000,97.480585
-106.777711,168,97.525965
186.286729,530,97.807121
248.465592,470,98.279451
195.299625,592,98.606143
66.040162,806,99.06718
-58.341471,194,99.124312
187.315474,520,99.777984
153.665764,647,100.113986
-138.728566,387,100.272243
-70.245464,219,100.339802
-57.403312,234,100.410536
-98.915217,310,100.818299
-40.411433,304,100.920337
126.037095,598,101.192679
-78.640905,191,101.244495
-68.112663,285,101.335659
187.756911,500,101.914067
180.433971,440,102.130831
-106.178449,379,102.28449
-98.666353,316,102.394959
173.414021,515,102.680857
-7.112093,443,103.181327
