#{"t_start": 1784296886.7989986, "env_id": "LunarLander-v3"}
r,l,t
-256.413422,109,0.02994
-194.690264,61,0.044714
-118.130362,87,0.065886
-108.484087,91,0.088197
-272.392792,113,0.116656
-81.368976,70,0.134108
-227.409055,69,0.151579
-447.808412,107,0.178442
-70.508139,119,0.210901
-346.967324,80,0.230597
-95.788983,81,0.250284
-311.207962,65,0.266411
-259.774829,85,0.287482
-51.63196,64,0.303177
-355.224952,90,0.324746
-111.141578,79,0.343777
-166.639647,69,0.360104
-201.457659,106,0.385282
-78.693009,84,0.405785
-195.033732,129,0.438241
-265.41455,96,0.462253
-40.208996,65,0.478902
-168.128636,91,0.502164
-99.573922,63,0.839885
-352.063487,118,0.870647
-158.948605,80,0.890873
-271.871268,92,0.91392
-57.852146,70,0.931848
-118.122824,92,0.95486
-121.337633,84,0.97581
-58.031791,79,0.995621
-112.79089,111,1.023813
-321.099447,113,1.053597
-49.441421,75,1.072526
-233.583303,146,1.111924
-188.670952,104,1.138303
55.992583,1000,1.925291
-239.503129,80,1.94662
-81.911978,72,1.964432
-71.529872,78,1.983788
-259.163555,96,2.008106
-21.638474,73,2.026754
-31.34561,111,2.055799
-29.782477,106,2.083159
-202.514025,108,2.111187
-132.711794,75,2.130028
-103.309595,78,2.14967
-103.483841,88,2.17187
-91.770659,84,2.193696
-111.340096,94,2.217427
-67.027591,71,2.235214
-298.010817,95,2.26005
-73.935475,116,2.289985
-125.261526,124,2.322028
-148.753157,83,2.342129
-148.49859,136,2.37821
-173.875715,95,2.402167
-138.341017,75,2.740384
-149.915647,141,2.77773
-371.724167,146,2.817483
-200.851814,87,2.839906
-291.357978,157,2.881676
-79.28348,108,2.909428
-161.600076,112,2.938064
-51.104319,146,2.978118
-314.855573,116,3.008999
-154.310101,91,3.032047
-238.350777,124,3.064522
-326.477763,185,3.116459
-194.574478,121,3.149969
-86.513077,81,3.170888
-338.480508,111,3.199682
-117.393651,117,3.230121
-80.739988,65,3.246532
-311.168049,174,3.613379
-199.528921,183,3.664204
-51.304086,113,3.693675
-98.986512,87,3.715865
-47.143475,76,3.735187
-342.424507,184,3.78521
-339.657076,138,3.821896
-103.358558,102,3.848282
-267.593167,104,3.875566
-21.072805,140,3.913931
-383.941022,126,3.946933
-291.849998,119,3.978359
-131.717548,128,4.01103
-184.122736,126,4.04445
-93.788511,76,4.063864
-361.117242,114,4.093461
-237.961611,121,4.124646
-109.437477,121,4.476875
-119.036281,113,4.507026
-23.828036,114,4.536539
-81.06132,140,4.573595
-65.602949,136,4.610233
-111.967738,159,4.654402
-28.135348,163,4.700758
-33.363451,99,4.726407
-272.150662,144,4.765762
-45.780227,137,4.802278
-104.897913,87,4.824347
-91.843141,107,4.851768
-36.268914,91,4.874806
-104.077045,181,4.925705
-82.115405,141,4.963885
-104.334543,162,5.329414
-341.86903,187,5.382496
-194.881324,208,5.444592
-334.742787,260,5.526291
4.364863,104,5.554936
-341.284988,165,5.600549
-320.274326,210,5.661106
-96.275423,136,5.696735
-182.685753,115,5.72682
-41.126773,173,5.774586
-284.066809,224,5.839265
-23.151471,105,5.866011
-392.818027,215,6.239242
-197.736762,154,6.280395
-82.260489,81,6.300545
-71.483389,139,6.337029
-67.292146,204,6.394864
-248.826281,160,6.437472
-241.733936,157,6.479073
-67.994402,124,6.511978
-44.551606,199,6.566866
