#{"t_start": 1784297659.7965605, "env_id": "LunarLander-v3"}
r,l,t
-220.734063,89,0.025185
-280.178952,96,0.048577
-251.912006,136,0.082331
-95.069266,81,0.102266
-122.787446,68,0.118467
-123.703071,100,0.142835
-232.07403,77,0.161554
-276.250469,115,0.189558
-260.657581,107,0.215485
-127.215364,141,0.251493
-135.272579,97,0.274764
-193.401824,109,0.302312
-94.538649,93,0.324615
-172.957838,77,0.343201
-81.952214,62,0.358064
-210.562003,123,0.388376
-106.348178,110,0.415239
-346.926963,88,0.436819
-228.856239,96,0.460624
-375.273498,116,0.489705
-86.352906,64,0.504901
-339.204406,124,0.845418
-38.489879,115,0.874957
-105.783571,74,0.892569
-302.518542,81,0.912477
-214.989076,97,0.93664
-187.895948,108,0.963142
-187.977596,122,0.993839
-141.288916,128,1.026068
-96.929204,65,1.04197
0.778983,140,1.077763
-390.817946,106,1.104204
-124.631107,100,1.129099
-281.104391,130,1.161134
-233.478564,121,1.191456
-210.118496,77,1.210476
-53.791826,60,1.224858
-111.751932,72,1.242324
-57.283083,68,1.258625
-114.188812,68,1.275256
-281.131567,108,1.302799
-14.301578,103,1.640458
-121.541855,142,1.67761
-229.201289,97,1.701958
-336.138852,94,1.725394
-173.910826,79,1.744993
-293.282009,123,1.775584
-99.191081,77,1.794439
-323.749011,121,1.82514
-113.734932,91,1.848044
-244.446747,132,1.882143
-304.477901,157,1.923357
-114.5147,173,1.970102
-95.81601,111,1.998686
-58.36438,68,2.015745
-64.481897,88,2.037396
-136.272791,131,2.070293
-65.184074,86,2.091576
-278.814357,122,2.122246
-239.185331,117,2.152121
-323.627525,149,2.50171
-370.014302,146,2.539731
-260.9447,163,2.583198
-100.661802,119,2.614003
-66.071812,130,2.647529
-295.192033,139,2.68381
-115.769058,124,2.715479
-244.315881,141,2.7523
-150.100714,117,2.783075
-185.908589,162,2.825585
-131.509367,150,2.865636
-90.12061,81,2.886143
-103.169645,113,2.914896
-119.901637,76,2.933709
-237.822096,159,2.974816
-192.646913,111,3.312093
-58.53931,105,3.338949
-140.326235,109,3.36744
-223.881017,109,3.395829
-100.066044,105,3.423263
-85.742948,129,3.456782
39.590582,146,3.495264
-81.34563,96,3.519496
-91.46257,161,3.562667
-323.553147,108,3.591113
-96.123613,81,3.612429
-151.651967,86,3.634614
-41.99098,142,3.672121
-35.49047,77,3.691678
-138.355817,256,3.769872
-75.527951,156,3.811243
-115.21014,187,4.174089
-108.992981,154,4.215545
-313.40465,263,4.292722
-340.040747,165,4.33743
-122.090667,145,4.374949
-1.086889,168,4.421378
-282.882116,268,4.501491
-17.412539,129,4.534983
-63.831029,99,4.559876
-161.742564,95,4.584226
-102.488838,169,4.629478
-39.574277,100,4.655121
-115.738745,180,4.705992
-235.794344,172,5.061124
-37.447328,118,5.092551
-287.044161,140,5.129144
-259.422763,169,5.175062
-261.508611,185,5.224508
-143.123147,281,5.316776
-252.442341,152,5.357449
-73.611293,105,5.384875
-65.594391,140,5.422551
-183.743703,118,5.453106
-257.050243,168,5.498639
