#{"t_start": 1784626413.866545, "env_id": "LunarLander-v3"}
r,l,t
-293.506191,90,0.523614
-91.022257,85,0.5442
-139.016392,91,0.565816
-218.77808,133,0.598047
-359.051061,86,0.618518
-112.269259,100,0.642264
-39.258018,74,0.660147
-254.12958,117,0.688231
-14.507083,122,0.71794
-121.111599,119,0.746617
-127.478819,109,0.772303
-109.58603,60,0.78666
-90.46362,71,0.803805
-203.263107,123,0.835473
-118.340939,96,0.8585
-267.175733,74,0.87681
-217.634376,78,0.895551
-302.464503,106,0.921669
-235.125467,80,0.940839
-284.612703,104,0.966634
-268.163732,76,0.985816
-137.193344,119,4.57465
-148.491031,102,4.599509
-113.182539,121,4.629391
-324.944111,105,4.654732
-29.713651,123,4.686623
-85.908545,69,4.702705
-109.705151,87,4.723436
-115.172457,82,4.743968
-127.965579,78,4.763107
-337.900946,134,4.796521
-147.27517,86,4.817723
-221.137975,82,4.838017
-87.103835,65,4.853709
-103.838135,63,4.868631
-270.09691,79,4.88798
-386.055072,112,4.915849
-102.683938,59,4.930352
-98.113523,91,4.952651
-221.816494,119,4.982126
-80.223049,60,4.996897
-149.477053,86,5.017963
-76.29901,88,5.040423
-164.600163,92,5.063105
-225.956375,101,5.406689
-78.188461,68,5.423461
-115.204845,72,5.440685
-180.265003,118,5.469486
-95.989146,62,5.484047
-376.367697,101,5.508599
-309.53816,128,5.540597
-146.762795,119,5.569372
-106.916119,74,5.587281
-238.351028,127,5.618197
-129.409431,113,5.645618
-92.451984,80,5.664908
-120.520793,121,5.694351
-129.102917,97,5.717446
-143.210198,74,5.735414
-92.885137,74,5.753644
-409.310794,98,5.778024
-89.173552,100,5.802608
-56.216489,62,5.817515
-164.614915,90,5.839508
-128.608419,77,5.858505
-195.990502,87,5.8797
-217.919004,109,6.225904
-114.371415,68,6.243063
-169.213153,113,6.27188
-170.120991,84,6.293565
-16.139315,110,6.321816
-93.34517,95,6.346848
-69.386507,84,6.367788
-79.819488,68,6.384552
-85.423329,70,6.402797
-117.545812,85,6.424141
-158.718404,93,6.44741
-141.508173,85,6.468869
-115.930744,95,6.492922
-134.661464,80,6.51267
17.997866,93,6.536446
-61.24148,65,6.55259
-137.200573,112,6.580255
-106.991573,63,6.59542
-104.598011,70,6.61173
-113.034296,107,6.639114
-370.357322,86,6.660526
-358.480836,127,6.69358
3.921834,85,6.715699
-138.676059,74,7.064051
-21.034049,133,7.097638
-341.45863,164,7.14114
-95.85649,107,7.167843
-147.646758,95,7.191785
27.791433,110,7.221059
-107.747901,78,7.240583
-96.13529,116,7.269822
-228.596125,110,7.29757
-86.591181,75,7.316364
-167.39685,105,7.342936
-62.540905,85,7.363989
-182.461826,67,7.380351
-317.465849,99,7.404129
-111.897093,120,7.43464
-94.791044,114,7.463495
-92.74325,77,7.482206
-205.895723,94,7.505019
-165.651474,111,7.532556
-205.353869,100,7.556835
-104.997056,134,7.912387
-107.479772,113,7.941422
-273.775168,153,7.981576
-18.908016,139,8.018627
-98.049624,98,8.042444
-169.136238,108,8.070052
-182.4121,104,8.095742
-208.505776,79,8.115471
-118.622258,73,8.133119
-80.827571,68,8.149409
-193.973124,107,8.175336
-93.328038,91,8.197599
-132.966799,157,8.238714
-238.388779,120,8.268081
-48.566153,78,8.287506
-116.981296,121,8.31838
-71.600562,94,8.341998
-275.291885,112,8.370538
-118.056679,145,8.730828
-179.399669,113,8.758976
-142.488601,80,8.778497
-183.3396,85,8.80032
-46.177031,69,8.817106
-88.966527,74,8.835294
-87.960283,143,8.872246
-106.566569,79,8.891319
-264.037132,148,8.931302
-123.811641,101,8.956591
-185.799343,89,8.978847
-77.932341,97,9.002417
-45.729168,124,9.033629
-72.813378,89,9.055334
-55.615137,105,9.080698
-28.811246,77,9.10157
-68.19507,113,9.129744
-142.107727,67,9.145766
-62.825506,72,9.163517
-110.932078,112,9.192971
-162.317959,93,9.215578
-83.422782,66,9.231323
-86.135657,70,9.570555
-74.78429,72,9.588025
-59.652754,79,9.607453
-114.243133,99,9.632153
-156.58679,75,9.649945
-102.257172,81,9.670295
-87.371972,113,9.698457
-114.891281,94,9.720654
-285.796207,152,9.760686
-91.755228,108,9.787654
-154.968758,101,9.812148
-115.996537,89,9.834074
-249.795247,91,9.857362
-144.748447,111,9.885811
-72.937418,105,9.912636
-259.342438,116,9.941636
-89.072726,112,9.970474
-114.660432,121,10.001132
-159.936134,141,10.037979
-119.128177,70,10.05473
-41.533553,85,10.401042
-86.553613,83,10.422131
-25.362724,75,10.441461
-79.384436,123,10.472172
-66.488311,79,10.492012
-99.010958,131,10.526155
-56.927115,102,10.552146
-81.000237,115,10.580126
-86.354509,98,10.604662
-131.366409,85,10.625306
-95.751921,106,10.651687
-95.586755,120,10.681648
-100.429911,120,10.711179
-94.827684,104,10.737634
-96.082167,95,10.762386
-43.925405,78,10.782279
-115.874773,98,10.806356
-64.115482,96,10.830572
-62.624225,142,10.867693
-52.527462,122,10.900161
-82.806401,84,11.250576
-143.386804,113,11.279388
-36.819527,135,11.314324
-64.078315,67,11.331846
-72.344602,94,11.355649
-10.663023,77,11.374732
-101.815949,104,11.400796
-46.542369,100,11.427064
-135.495778,88,11.448861
-87.35933,95,11.472916
-190.011904,104,11.499928
-138.436564,99,11.524205
-88.48773,169,11.570901
-32.18228,139,11.60712
-68.764398,115,11.636138
-74.761119,123,11.667123
-91.10384,93,11.690693
-50.314989,107,11.718148
-50.279697,90,11.741127
-47.30757,112,11.769138
-23.515276,80,12.117514
-110.284808,78,12.13696
-68.610852,84,12.158278
-74.040701,102,12.183036
-75.384383,114,12.21194
-108.380856,93,12.235246
-118.936628,108,12.262531
-45.989431,76,12.281673
-77.096623,111,12.308864
6.333499,88,12.330673
-53.526835,115,12.360429
-71.157837,71,12.3775
-0.530902,87,12.399402
-55.599794,106,12.426426
-39.547771,113,12.454957
-141.310837,116,12.48429
-64.957957,125,12.515545
-76.178129,145,12.554595
-102.568391,78,12.57323
-76.98944,75,12.591262
-83.6739,102,12.941117
-11.153679,93,12.966243
-76.846124,109,12.993997
-19.945737,146,13.032953
-39.34937,138,13.068815
-82.169396,89,13.091549
-60.86074,100,13.116813
-103.712632,103,13.142668
-11.721454,99,13.167577
-78.187531,93,13.191056
-34.268793,86,13.213173
-71.114615,87,13.235331
-37.334652,67,13.251857
-80.956534,99,13.276185
-44.126827,124,13.307522
-67.7178,85,13.328846
-62.023392,116,13.357505
-119.674822,90,13.379582
-23.900578,92,13.402874
-27.009414,151,13.442667
-40.118717,196,13.8218
-17.727482,154,13.862836
-99.210454,121,13.892775
-35.564075,115,15.223289
-84.833253,140,15.259796
-70.942309,121,15.291091
-52.557675,136,15.326931
-28.049335,119,15.358352
34.853171,178,15.407089
-23.601159,89,15.430302
-33.119264,113,15.459502
-78.358127,147,15.49762
-65.03232,117,15.527814
-11.985397,125,15.560094
-8.197201,126,15.592871
-106.83678,112,15.622241
-29.560484,154,15.998009
-36.845258,129,16.032482
-54.145107,78,16.052853
-75.443955,98,16.078079
-12.618418,98,16.103828
5.501594,101,16.13006
-78.140774,95,16.154958
3.303294,76,16.174392
-56.699528,111,16.203268
-86.719121,108,16.231348
-62.668952,146,16.27046
-2.547886,97,16.295888
-28.147135,118,16.326911
-29.921961,87,16.349035
-52.131671,108,16.376877
-24.908384,124,16.408586
-85.036433,119,16.439301
26.668436,93,16.46338
-91.974147,127,16.821683
-46.295605,78,16.841627
-58.357263,93,16.866778
-55.694433,116,16.899099
-38.768212,135,16.938028
-46.899045,101,16.964998
-34.563156,131,16.999782
4.250447,141,17.036921
28.898487,98,17.062428
-17.075921,129,17.096611
-46.672909,92,17.120209
-87.524122,104,17.146391
-66.316197,66,17.163019
-71.416428,108,17.190874
-84.986759,99,17.215871
-50.185934,178,17.265661
-70.457201,115,17.29501
-14.642891,107,17.321749
-6.728407,132,17.356273
3.943158,134,17.71404
-3.858473,92,17.737605
-15.244972,144,17.776017
-29.906655,147,17.814377
-51.058466,125,17.847359
-4.892082,154,17.88796
-55.753848,102,17.914204
10.311131,110,17.943019
-15.986852,129,17.97648
5.877892,72,17.99461
0.939255,114,18.023605
-30.601513,105,18.049936
-64.541088,119,18.081046
-7.259691,98,18.106259
24.121,117,18.136642
-5.260636,132,18.171147
10.501891,159,18.212892
-62.897322,177,18.592765
-26.627203,84,18.614514
-16.644544,119,18.645082
-4.78531,126,18.677544
-26.592928,147,18.717407
-34.680705,117,18.74755
-22.399911,125,18.781593
-4.065434,161,18.824995
-64.179561,111,18.853568
-15.820677,87,18.875781
63.14278,109,18.906229
-47.715971,79,18.927668
-43.53241,87,18.951102
-110.998973,94,18.975438
-80.682424,147,19.014943
-31.411436,157,19.057204
-48.569059,149,19.418956
26.719981,135,19.455662
-9.494534,95,19.480009
-52.482166,109,19.507835
6.525121,96,19.532502
10.011139,168,19.578061
5.573415,98,19.602668
-36.149689,85,19.624783
-17.114548,120,19.655518
-4.908479,134,19.690716
22.414452,101,19.716926
-32.673856,67,19.733791
-65.366625,118,19.76364
-13.446973,169,19.808651
-16.595059,116,19.838948
-46.42216,122,19.870164
-75.044103,96,19.894994
-51.270423,84,19.916384
-64.765432,74,19.935177
12.298705,117,20.293216
-33.17574,86,20.315113
23.449081,127,20.34747
-6.086064,118,20.377767
-18.307577,105,20.404682
26.287032,151,20.444751
17.064391,136,20.480302
-5.680393,90,20.503541
-15.215286,105,20.531559
-33.198304,93,20.555597
-13.954841,118,20.586186
11.583415,153,20.626947
-24.846222,97,20.651448
-50.812317,131,20.685433
-0.413128,114,20.714627
59.427983,1000,21.470083
-20.817418,141,21.507037
34.769053,102,21.533514
7.391005,77,21.552861
-35.823336,113,21.581907
-20.120237,113,21.610883
36.562226,126,21.644214
-7.208507,101,21.670158
-3.002957,184,21.721278
158.2441,1000,22.654469
54.17966,104,22.682841
1.970522,102,22.708598
57.58662,109,22.737027
9.661211,110,22.765344
25.118732,1000,23.213319
-16.984642,132,23.575974
-11.147691,169,23.621461
42.365493,107,23.649349
127.705353,1000,24.236635
4.067922,125,24.269503
-35.459464,123,24.301532
24.55597,128,24.334673
33.141762,109,24.362453
-28.897227,120,24.392739
31.865578,118,24.74834
-4.890282,137,24.785172
3.041589,143,24.822794
1.075819,126,24.856088
-8.788231,151,24.897504
-33.666645,167,24.942234
6.232666,126,24.974907
51.444708,1000,25.413205
-14.970804,150,25.454736
-11.667626,106,25.809996
23.661164,168,25.856141
24.257849,114,25.885929
41.264152,126,25.918346
33.938664,114,25.948804
-6.259069,153,25.990129
40.534614,1000,26.51104
-30.808849,114,26.542342
-6.776816,107,26.569978
21.842631,95,26.926621
13.069801,126,26.961836
37.471655,143,27.000241
83.589668,1000,28.696525
57.556711,141,28.734451
17.873184,166,28.779484
10.96966,145,28.81823
20.651461,120,28.850244
20.843118,115,28.881034
-10.022365,109,29.237666
-2.707435,115,29.268012
136.383615,1000,29.749663
34.301534,139,29.787511
49.23146,122,29.819631
45.168592,140,29.856807
32.458658,149,29.896601
99.08946,1000,30.757504
45.503624,148,30.798282
127.193571,1000,31.512745
33.672215,134,31.549161
74.527772,1000,32.514949
34.979174,150,32.555512
0.489436,137,32.592331
-3.708833,156,32.636233
-19.351462,160,32.680899
-3.410832,152,32.722359
136.065468,1000,33.720132
102.486366,1000,34.232831
117.351507,1000,35.106962
106.14552,1000,35.601247
-36.405555,159,35.645765
54.463318,144,35.686046
17.24004,126,35.71905
148.250171,1000,36.528536
63.721757,1000,37.062449
-22.790038,145,37.433011
56.423262,147,37.473355
115.842877,1000,37.976398
154.117117,1000,38.852569
104.589714,1000,39.28344
15.463269,150,39.325134
29.588396,1000,40.094192
16.246808,165,40.139183
-21.933445,178,40.188102
133.184036,1000,40.691682
-3.331302,133,40.727539
-13.192572,178,40.77632
182.533956,1000,41.582989
-7.165818,114,41.613953
-20.286301,116,41.643838
-33.399258,183,41.694163
5.484013,169,41.741476
33.747151,172,41.787789
82.282742,1000,42.636756
137.088713,1000,43.164255
-25.711781,212,43.224986
32.248882,115,43.255355
129.303681,1000,44.034608
3.598568,139,44.073138
84.063952,1000,45.289406
154.248161,1000,46.141577
-20.685102,138,46.180009
22.71066,136,46.216616
1.235437,114,46.247173
9.195059,167,46.293422
-6.729832,150,46.334099
38.060381,168,46.379271
-1.571835,144,46.420748
39.244648,110,46.449389
-1.20046,162,46.825582
23.829636,101,46.853033
4.685088,151,46.893996
24.325383,124,46.927197
136.582353,1000,47.522267
136.403103,1000,48.250209
-2.589022,126,48.284341
-13.93227,144,48.323116
24.295403,143,48.361171
3.062413,167,48.407646
-28.794412,166,48.451962
-24.398356,135,48.488747
238.932192,218,48.557786
-6.630173,136,48.594244
-32.235974,135,48.630543
47.246947,129,48.665339
49.349106,106,49.025648
24.612352,168,49.072365
28.046504,120,49.104867
8.609877,172,49.151113
132.054909,1000,49.520622
170.655842,1000,50.300838
30.39515,176,50.349862
-28.447788,96,50.374316
23.816158,147,50.412541
149.911132,1000,50.829034
-4.197135,111,50.859035
-32.17497,149,51.230413
-52.252799,143,51.269588
-6.065634,97,51.294641
109.064979,1000,51.839144
-31.012977,179,51.889517
42.66426,95,51.915359
45.566921,148,51.955172
159.518987,1000,52.753444
46.817924,170,52.799947
32.307704,128,52.833633
18.028508,141,52.870477
-34.002574,150,52.910408
142.063305,1000,53.704469
5.81345,144,53.743013
133.303453,1000,54.164892
16.975988,197,54.220751
154.114816,1000,55.103517
20.538293,161,55.147094
31.418974,153,55.187937
24.812786,112,55.217229
1.659789,160,55.259977
93.575877,1000,55.997308
121.148304,1000,56.464191
-84.062845,388,56.602953
47.566763,123,56.636077
138.202346,1000,57.404754
133.386887,1000,57.813587
148.117189,1000,58.624572
138.566344,1000,59.114499
-64.886013,366,59.970374
-16.578811,150,60.010837
23.492553,146,60.382422
118.685798,1000,60.901366
13.125147,170,60.951205
159.55868,1000,61.728204
146.374812,1000,62.203855
8.973847,107,62.231946
55.548338,164,62.275954
117.86164,1000,63.029962
130.836646,1000,63.540469
26.309972,171,63.588168
12.833416,151,63.628889
160.378832,1000,64.435775
-16.494907,128,64.47033
21.067145,106,64.498831
43.048001,160,64.543317
36.461258,180,64.592914
1.712424,102,64.619943
243.528946,999,65.326438
136.213855,1000,65.846395
21.983217,119,65.878778
167.358443,1000,66.827343
154.631396,1000,67.242546
25.190224,186,67.295889
137.620162,1000,68.125184
26.134591,125,68.160032
83.903385,1000,68.608098
164.608018,1000,69.40397
165.305452,1000,70.025214
-20.648513,184,70.077877
157.131723,1000,70.855505
149.410357,1000,71.28673
166.123056,895,72.079191
13.614634,216,72.142088
55.287214,1000,72.590203
1.913796,94,72.616405
8.107733,186,73.006687
132.419347,1000,73.450146
128.926432,1000,74.31409
-27.393786,212,74.374092
-15.437708,171,74.422276
28.558585,208,74.481254
140.983585,1000,74.852154
174.192088,1000,76.419213
142.053247,1000,76.877457
47.428071,144,76.917189
141.606325,1000,77.688125
38.404199,166,77.733569
75.388128,1000,78.180281
147.23483,1000,78.901717
104.662862,1000,79.483135
148.780011,1000,80.280141
-11.077293,109,80.310039
150.940241,1000,80.826742
-22.619827,174,80.877484
50.587519,172,81.260226
218.543239,324,81.379071
128.282687,1000,81.795353
170.077323,1000,82.513231
127.122837,1000,82.955465
204.738363,385,83.113214
153.968001,1000,83.854695
154.539306,1000,84.318303
12.478375,123,84.352441
47.266616,1000,85.210106
14.730087,157,85.25347
71.40458,1000,85.745657
156.463637,1000,86.494878
47.641937,105,86.523638
136.561216,1000,87.102713
54.83202,149,87.485588
148.672468,1000,87.915881
142.630596,1000,88.708014
152.979487,1000,89.138836
144.002071,1000,90.171564
62.300271,186,90.226307
42.913046,174,90.276788
113.980407,1000,90.905395
39.940986,1000,91.810831
58.94219,171,92.864138
123.657841,1000,93.347661
91.776499,1000,94.234366
156.456431,1000,94.818797
148.308821,1000,95.680067
121.681419,1000,96.119085
134.228025,459,96.312446
106.505906,1000,97.177234
71.169728,166,97.225958
142.509813,1000,97.808943
30.421522,111,98.183258
2.234726,159,98.228832
56.098078,158,98.274686
35.053489,186,98.329817
-12.35219,176,98.382284
125.341056,1000,98.913513
66.28947,143,98.954382
133.285016,1000,99.876702
55.052153,1000,100.358828
140.756221,1000,101.139964
84.455542,1000,101.745177
159.153011,1000,102.573969
52.319934,163,102.62307
113.212531,1000,103.171861
83.148757,1000,104.024798
46.772575,165,104.071653
