#{"t_start": 1784296098.582663, "env_id": "LunarLander-v3"}
r,l,t
-136.124349,100,0.028269
-136.493392,122,0.058733
-63.971389,112,0.085715
-83.039302,107,0.11191
-45.747765,70,0.128906
-71.839676,86,0.149934
-120.432122,104,0.174432
-221.964268,86,0.19485
-144.006323,87,0.216701
-337.997715,141,0.25262
-94.388122,78,0.271319
-69.191647,112,0.298535
-115.622867,54,0.311375
-40.600969,70,0.328274
-312.77192,103,0.353802
-121.911247,83,0.37352
-83.948529,127,0.40493
-329.920648,119,0.433754
-177.151359,65,0.449254
-240.220509,116,0.47754
17.444331,74,0.495581
-295.345559,84,0.825295
-115.548178,149,0.863417
-184.273028,79,0.88301
2.776293,78,0.902579
-33.901577,64,0.918468
-228.908885,63,0.934117
-387.507267,83,0.954
-170.145514,78,0.973049
-94.278828,105,0.998952
-2.055293,128,1.030685
-137.050908,115,1.059586
-196.088781,64,1.074808
-99.430596,83,1.095724
-118.534895,99,1.120345
-141.351337,90,1.142066
-331.498345,89,1.164413
-267.988533,116,1.193633
-121.1289,85,1.214329
-95.460112,90,1.237406
-171.404554,70,1.255809
-134.87633,124,1.288765
-262.291241,93,1.3133
-94.449818,164,1.672901
-102.855216,79,1.693042
-53.426466,70,1.710163
-149.69015,81,1.730164
-111.135482,85,1.75185
-94.651317,121,1.782681
-101.034476,68,1.798802
-194.627581,96,1.82235
-278.830799,114,1.850618
-36.234325,98,1.876233
-152.74855,99,1.901892
-458.266171,90,1.924859
-185.168642,75,1.943604
-75.341288,142,1.980277
-157.85327,104,2.008417
-124.87762,99,2.033512
-73.205825,69,2.050589
-108.168615,75,2.069455
-396.71661,94,2.093637
-75.291198,103,2.119387
-37.040246,69,2.136296
-517.631726,113,2.475115
-49.432593,67,2.492126
-95.558864,202,2.54818
-155.183455,121,2.578922
-49.605596,121,2.609266
-208.275592,132,2.643275
-104.030962,156,2.684481
-249.317195,166,2.729352
25.703984,98,2.755138
-335.606392,165,2.799079
-85.059871,86,2.82077
-306.275851,175,2.8689
-55.519771,118,2.900043
-221.477752,75,2.919019
-71.916918,100,2.943984
-81.108493,134,2.978113
-5.579048,114,3.007227
-174.192767,103,3.344086
-129.672969,158,3.386802
-224.075899,92,3.409711
-318.087928,133,3.443573
-115.245126,118,3.474633
-389.215895,149,3.514324
-224.534345,112,3.543034
-216.873129,175,3.591059
-218.590214,110,3.619048
-269.811291,103,3.645284
-81.286655,117,3.675635
-221.852628,129,3.708263
-39.213709,87,3.730431
-277.682022,152,3.771179
-209.307002,110,3.799565
-86.444668,124,3.831725
-94.960664,119,4.171475
-67.713971,98,4.197355
-72.102524,83,4.217758
-0.555038,206,4.276795
-20.63241,104,4.30422
-69.667804,112,4.332243
-232.247675,181,4.381767
-67.934962,132,4.416167
-165.900042,103,4.443237
-80.128163,88,4.467172
-41.020456,192,4.520565
-22.101593,86,4.541779
-53.832772,132,4.576133
-203.011308,93,4.599781
-70.845128,104,4.626269
-54.259555,115,4.655675
-51.867533,148,4.694729
-99.421728,113,5.035073
-119.121639,231,5.10377
-183.383811,245,5.180247
-16.827734,104,5.206866
-119.254806,106,5.23485
10.943804,175,5.284965
-39.259665,283,5.370867
5.572143,130,5.405218
-53.219307,147,5.44492
-34.280395,149,5.484956
-7.378015,82,5.506454
5.51761,268,5.589978
-59.149134,85,5.9211
-398.005161,260,6.006111
6.76054,165,6.050845
-28.04851,263,6.134201
-30.097392,151,6.174951
11.754139,133,6.2105
-1.015471,201,6.269182
-83.920767,232,6.338923
61.793184,1000,7.404781
-98.282024,427,7.591727
-8.139452,215,7.655069
-4.077102,282,7.744895
-197.749908,259,7.820672
-54.800554,199,7.876575
26.278326,1000,8.932217
31.136356,158,8.977976
-14.446446,153,9.020793
92.116499,1000,9.525744
84.450833,1000,10.469599
51.285186,183,10.521222
96.00503,1000,11.512102
106.499336,1000,12.098404
4.950666,179,12.149925
119.056963,1000,13.105754
-4.411937,205,13.166827
4.193715,215,13.231268
135.643746,1000,13.852762
-29.870589,210,13.913911
15.353317,195,14.277975
6.78185,179,14.329473
129.065538,1000,14.896147
99.739202,1000,15.749436
-3.289975,209,15.811336
20.729465,256,15.887865
151.61418,1000,16.398362
49.990779,1000,17.186907
-2.374302,177,17.238217
16.282321,192,17.291399
114.477545,1000,17.899042
177.640331,1000,18.688038
156.371409,1000,19.186625
192.102516,521,19.709601
122.649598,1000,20.245136
139.40108,1000,21.134011
3.154929,213,21.197059
149.914987,1000,21.630738
148.220234,1000,22.385587
163.229653,1000,22.893004
