number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_vf_coef,user_attrs_actual_timesteps,user_attrs_anchor,user_attrs_mean_fuel_proxy,user_attrs_model_path,user_attrs_std_reward,user_attrs_success_rate,user_attrs_training_duration_s,system_attrs_fixed_params,state
0,-126.10991911341061,2026-07-17 15:24:34.302442,2026-07-17 15:25:38.080471,0 days 00:01:03.778029,64,0.2,0.0,0.95,0.99,0.0003,10,2048,0.5,100352.0,défaut SB3,184.27650000000162,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_000/model.zip,25.15016414997856,0.0,61.623096560972044,"{'learning_rate': 0.0003, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'vf_coef': 0.5}",COMPLETE
1,70.94383254896113,2026-07-17 15:25:38.220060,2026-07-17 15:26:36.211900,0 days 00:00:57.991840,64,0.2,0.0,0.95,0.999,0.0003,10,2048,0.5,100352.0,gamma=0.999,106.4729999999995,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_001/model.zip,117.57802947672334,0.75,56.46252814200125,"{'learning_rate': 0.0003, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'vf_coef': 0.5}",COMPLETE
2,-472.9313416596971,2026-07-17 15:26:36.348296,2026-07-17 15:27:08.561465,0 days 00:00:32.213169,64,0.3,0.01,1.0,0.99,0.0001535528683888687,3,512,0.5,100352.0,,78.26249999999986,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_002/model.zip,272.0086299888667,0.0,31.24814554399927,,COMPLETE
3,-986.8923497873324,2026-07-17 15:27:08.693207,2026-07-17 15:27:35.850725,0 days 00:00:27.157518,256,0.1,0.005,0.98,0.99,0.00023334818836184617,3,2048,0.5,100352.0,,46.79849999999991,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_003/model.zip,420.8375266173045,0.0,26.728627382981358,,COMPLETE
4,-390.19065060888687,2026-07-17 15:27:36.002276,2026-07-17 15:28:11.264175,0 days 00:00:35.261899,256,0.2,0.001,0.95,0.999,0.00029981669412063315,5,512,1.0,100352.0,,83.06250000000001,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_004/model.zip,144.34120437108362,0.0,34.277930839016335,,COMPLETE
5,-1414.1948336843982,2026-07-17 15:28:11.409073,2026-07-17 15:28:46.701341,0 days 00:00:35.292268,128,0.3,0.005,0.95,0.999,0.0003235188302117385,3,512,1.0,100352.0,,165.3675000000012,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_005/model.zip,324.3674305308271,0.0,33.38427423100802,,COMPLETE
6,-85.33468757444814,2026-07-17 15:28:46.839318,2026-07-17 15:29:45.807352,0 days 00:00:58.968034,64,0.2,0.0,1.0,0.999,9.923006608672547e-05,20,1024,1.0,100352.0,,42.973500000000016,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_006/model.zip,65.74074046283663,0.05,58.3711720900028,,COMPLETE
7,-1178.5083747167594,2026-07-17 15:29:45.940237,2026-07-17 15:30:20.316356,0 days 00:00:34.376119,64,0.2,0.001,0.95,0.99,0.0001316638995307477,3,1024,1.0,100352.0,,73.53599999999975,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_007/model.zip,481.10903694943414,0.0,33.594826694985386,,COMPLETE
8,23.87491546894328,2026-07-17 15:30:20.457378,2026-07-17 15:31:20.949799,0 days 00:01:00.492421,128,0.1,0.0,0.9,0.995,0.0008941049979655931,10,2048,0.5,100352.0,,152.73000000000042,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_008/model.zip,86.56371822444174,0.45,58.546545625984436,,COMPLETE
9,-379.9762476151387,2026-07-17 15:31:21.086040,2026-07-17 15:32:04.785499,0 days 00:00:43.699459,64,0.2,0.01,0.98,0.995,5.1878475475204165e-05,10,2048,0.5,100352.0,,102.41550000000007,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_009/model.zip,88.70942535836772,0.0,42.45144133499707,,COMPLETE
10,-267.50759967829674,2026-07-17 15:32:04.921224,2026-07-17 15:32:48.171663,0 days 00:00:43.250439,128,0.1,0.0,0.9,0.999,0.0007219497796496294,5,2048,0.5,100352.0,,144.18600000000043,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_010/model.zip,69.18882359385836,0.0,41.52869555802317,,COMPLETE
11,62.72473376695738,2026-07-17 15:32:48.316716,2026-07-17 15:33:50.158292,0 days 00:01:01.841576,128,0.1,0.0,0.9,0.995,0.00098813751627675,10,2048,0.5,100352.0,,129.9839999999998,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_011/model.zip,91.85797112715323,0.45,60.01889268500963,,COMPLETE
12,-176.84712512297025,2026-07-17 15:33:50.299764,2026-07-17 15:34:40.679775,0 days 00:00:50.380011,128,0.1,0.0,0.9,0.995,0.0005180723886929172,10,2048,0.5,100352.0,,184.35300000000163,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_012/model.zip,50.18137391095917,0.0,48.305623510008445,,COMPLETE
13,-9.986154827542853,2026-07-17 15:34:40.818865,2026-07-17 15:35:31.875579,0 days 00:00:51.056714,128,0.1,0.0,0.9,0.995,0.0004846650168930744,10,2048,0.5,100352.0,,161.4300000000008,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_013/model.zip,117.0286665752287,0.4,49.04226199199911,,COMPLETE
14,,2026-07-17 15:35:32.024330,2026-07-17 15:35:53.443874,0 days 00:00:21.419544,256,0.3,0.0,0.95,0.999,0.0005233432858239558,20,2048,0.5,,,,,,,,,FAIL
15,55.40516033858029,2026-07-17 15:37:53.373910,2026-07-17 15:38:53.978956,0 days 00:01:00.605046,256,0.3,0.0,0.95,0.999,0.0005500644360153479,20,2048,0.5,100352.0,,87.16499999999975,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_015/model.zip,117.01334610449922,0.6,59.37783367402153,,COMPLETE
16,213.04021134311924,2026-07-17 15:38:54.123636,2026-07-17 15:39:51.821131,0 days 00:00:57.697495,64,0.2,0.0,0.9,0.995,0.0009895892214995185,10,2048,0.5,100352.0,,70.36499999999977,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_016/model.zip,58.00793309153971,0.95,56.643321814975934,,COMPLETE
17,-1079.5400364979394,2026-07-17 15:39:51.973500,2026-07-17 15:40:38.843046,0 days 00:00:46.869546,64,0.2,0.001,0.98,0.999,5.461308603690718e-05,10,1024,0.5,100352.0,,106.52699999999996,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_017/model.zip,512.3075321929073,0.0,45.62127310101641,,COMPLETE
18,-80.5851546561673,2026-07-17 15:40:38.989063,2026-07-17 15:41:32.343366,0 days 00:00:53.354303,64,0.2,0.01,1.0,0.995,0.0002008162021741798,10,2048,0.5,100352.0,,178.38450000000137,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_018/model.zip,53.7424898686138,0.0,51.19300831001601,,COMPLETE
19,-1474.4588447008018,2026-07-17 15:41:32.481953,2026-07-17 15:42:09.572825,0 days 00:00:37.090872,64,0.2,0.005,0.95,0.999,8.791951530041829e-05,5,512,1.0,100352.0,,70.28999999999974,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_019/model.zip,272.8524197317609,0.0,36.43615497398423,,COMPLETE
20,166.38002498903353,2026-07-17 15:42:09.719217,2026-07-17 15:43:32.650589,0 days 00:01:22.931372,64,0.2,0.0,0.9,0.995,0.00036614905726529924,20,1024,0.5,100352.0,,86.93399999999984,/home/raya-kevin/agent-workspace/projects/11_PROJET_11/P_11/ASTRODYNAMICS/artifacts/optuna/ppo_lunarlander/trials/trial_020/model.zip,85.05256249857322,0.8,81.51937213799101,,COMPLETE
