#{"t_start": 1784295280.8693714, "env_id": "LunarLander-v3"}
r,l,t
-136.124349,100,0.027412
-136.493392,122,0.057565
-63.971389,112,0.084552
-83.039302,107,0.110687
-45.747765,70,0.127815
-71.839676,86,0.149226
-120.432122,104,0.173979
-221.964268,86,0.19468
-144.006323,87,0.21658
-337.997715,141,0.252923
-94.388122,78,0.271904
-69.191647,112,0.299893
-115.622867,54,0.313014
-40.600969,70,0.330039
-312.77192,103,0.35603
-121.911247,83,0.376128
-83.948529,127,0.408233
-329.920648,119,0.438087
-177.151359,65,0.453827
-240.220509,116,0.482412
17.444331,74,0.501087
-295.345559,84,0.693026
-155.618642,142,0.729649
-151.554245,71,0.747446
-258.94732,107,0.774458
-177.022356,73,0.792418
-130.586135,101,0.817458
-78.540247,95,0.840168
-164.443206,129,0.872943
-292.655933,107,0.899327
-254.855595,114,0.92883
-32.601375,78,0.947914
-251.041205,90,0.97085
-192.967525,110,0.998189
-90.137813,63,1.013627
-116.381505,93,1.036095
-403.820044,89,1.057922
-119.67371,97,1.082123
-263.858534,125,1.113413
-104.553064,100,1.138176
-119.580298,75,1.156828
-127.575731,81,1.176838
-451.356809,92,1.370643
-74.270337,116,1.400146
-177.892835,126,1.431602
-200.397894,82,1.451539
-278.049556,87,1.473298
-103.26024,64,1.488676
-77.346382,64,1.503886
-139.604208,99,1.527264
-143.07265,110,1.554259
-122.963576,128,1.586633
-112.213154,97,1.610424
-138.250785,85,1.631905
-248.741304,91,1.653809
-94.996637,84,1.674298
-134.501433,101,1.699401
-105.684273,67,1.716018
-78.599888,111,1.743267
-265.422296,89,1.764641
-113.121864,131,1.796862
-172.720543,109,1.824127
-209.96431,123,1.854662
-256.357544,84,2.044621
-76.103624,66,2.061202
-101.652799,84,2.08232
-88.299698,90,2.104491
-92.103064,118,2.134294
-49.230962,72,2.151737
-269.057339,96,2.176565
-157.789709,90,2.198879
-128.386621,130,2.232206
-304.577856,84,2.253448
-99.221171,139,2.290066
-156.653417,68,2.306689
-435.222657,137,2.341265
-86.552949,61,2.355749
-185.604319,116,2.384976
-99.887307,78,2.404111
-86.273944,89,2.425577
-109.96644,66,2.441773
-267.510562,80,2.462152
-95.414785,71,2.479169
-97.039247,90,2.501214
-178.714525,98,2.526277
-199.975632,123,2.729639
-345.853369,100,2.754467
-155.553933,106,2.781182
-355.543672,97,2.805016
-131.811441,106,2.831179
-98.281202,101,2.855824
-122.767047,97,2.880111
-96.675194,102,2.905063
-231.030806,113,2.933614
-74.739154,70,2.950669
-11.002369,118,2.980209
-171.918633,88,3.001812
-215.170361,114,3.030872
-183.657688,122,3.061841
-238.926684,73,3.079632
-61.200515,83,3.09991
-95.606209,66,3.115777
-78.46126,66,3.131499
-373.71369,118,3.161259
-374.687323,89,3.183948
-119.005779,90,3.206707
-125.297032,94,3.230557
-274.178243,107,3.429051
-306.182559,111,3.457414
-50.001166,159,3.499695
