number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_one_minus_gamma,params_vf_coef,user_attrs_duration_s,user_attrs_gamma,user_attrs_n_train_seeds,user_attrs_score_min,user_attrs_score_std,user_attrs_seed_scores,state
0,-11.665665699999998,2026-07-21 10:22:01.410601,2026-07-21 10:24:01.794637,0 days 00:02:00.384036,256,0.1,7.927811948299722e-05,1.0,0.00020376446103967058,1.0,3,512,0.003258942264356453,0.25,120.22832529401057,0.9967410577356436,2.0,-63.76422325,52.09855755,"[-63.76422325, 40.432891850000004]",COMPLETE
1,22.392361824999995,2026-07-21 10:22:01.561048,2026-07-21 10:23:57.430580,0 days 00:01:55.869532,256,0.1,9.133086692498322e-07,1.0,0.0001813260600365972,1.0,3,2048,0.0034645994805784794,0.5,115.70023733700509,0.9965354005194215,2.0,19.60014585,2.792215974999996,"[19.60014585, 25.184577799999992]",COMPLETE
2,-224.26882949999998,2026-07-21 10:22:01.726507,2026-07-21 10:24:33.417197,0 days 00:02:31.690690,128,0.3,8.971226834298528e-06,0.98,0.0005903049884245419,1.0,5,512,0.005130865487083088,1.0,,,,,,,PRUNED
3,-1814.5409988249996,2026-07-21 10:22:01.900204,2026-07-21 10:24:04.555941,0 days 00:02:02.655737,256,0.1,1.4459827532077768e-05,0.98,0.0001372608526592228,0.3,3,2048,0.001000500577966717,0.5,122.46868082499714,0.9989994994220333,2.0,-2004.0162221499995,189.4752233249999,"[-2004.0162221499995, -1625.0657754999997]",COMPLETE
4,-88.326641,2026-07-21 10:22:02.085727,2026-07-21 10:24:28.554550,0 days 00:02:26.468823,256,0.2,8.328336077307118e-06,1.0,0.0011413615305378114,0.3,10,1024,0.0003465825794427548,1.0,144.30757463199552,0.9996534174205572,2.0,-94.2952214,5.9685804000000005,"[-82.3580606, -94.2952214]",COMPLETE
5,-3676.0290735000003,2026-07-21 10:22:02.088448,2026-07-21 10:24:32.755621,0 days 00:02:30.667173,64,0.1,0.00198568473959619,0.95,0.0001214038165110948,0.3,5,1024,0.00027547855668079923,1.0,,,,,,,PRUNED
6,-1433.0026499,2026-07-21 10:22:02.086288,2026-07-21 10:24:33.828862,0 days 00:02:31.742574,128,0.3,8.844237628646407e-08,0.9,0.00015456351319867174,0.5,10,4096,0.009063305086629383,0.5,,,,,,,PRUNED
7,-1665.028545875,2026-07-21 10:22:02.188378,2026-07-21 10:24:18.178103,0 days 00:02:15.989725,256,0.1,0.011632811673351867,1.0,0.0010640007112462395,0.5,3,1024,0.008780250337012649,1.0,135.48680497400346,0.9912197496629873,2.0,-3156.2041749,1491.175629025,"[-3156.2041749, -173.85291684999999]",COMPLETE
8,-732.0307955000001,2026-07-21 10:22:02.260075,2026-07-21 10:24:36.942369,0 days 00:02:34.682294,128,0.1,6.875070627676207e-05,0.9,0.0002911620407150577,0.5,3,512,0.00023958301825851598,0.5,,,,,,,PRUNED
9,103.85834840000001,2026-07-21 10:22:02.540873,2026-07-21 10:25:50.234408,0 days 00:03:47.693535,128,0.1,4.06794005990989e-06,0.9,0.0008813843823638304,1.0,20,1024,0.0003854168794207662,1.0,227.42544867799734,0.9996145831205793,2.0,68.94643235,34.91191605000001,"[68.94643235, 138.77026445]",COMPLETE
10,-89.7221923,2026-07-21 10:22:02.808151,2026-07-21 10:26:10.246231,0 days 00:04:07.438080,64,0.2,1.506478363817864e-08,0.9,0.001664021148588998,0.3,5,4096,0.015975300120459956,0.25,,,,,,,PRUNED
11,-1288.1152341,2026-07-21 10:22:03.317028,2026-07-21 10:25:04.740302,0 days 00:03:01.423274,64,0.2,1.1855464443984413e-05,0.9,9.371046281907151e-05,0.3,10,4096,0.012789176651230595,0.25,,,,,,,PRUNED
12,0.7138564500000086,2026-07-21 10:22:03.480719,2026-07-21 10:25:44.357589,0 days 00:03:40.876870,64,0.2,1.3484855580480648e-05,0.98,0.002574620762057984,0.3,5,1024,0.0036086208234417673,0.5,220.5859160789987,0.9963913791765582,2.0,-134.2471266,134.96098305,"[-134.2471266, 135.67483950000002]",COMPLETE
13,-840.6382426,2026-07-21 10:22:03.319260,2026-07-21 10:24:30.611837,0 days 00:02:27.292577,256,0.1,2.2554221327232457e-08,0.9,0.00016058708212509087,0.5,10,4096,0.004917205526689541,0.5,,,,,,,PRUNED
14,51.279295125,2026-07-21 10:22:03.072940,2026-07-21 10:27:53.524277,0 days 00:05:50.451337,64,0.2,9.805620650893674e-07,0.9,0.00035799389869452404,0.5,20,512,0.00210112635767988,0.25,349.53929797999444,0.9978988736423201,2.0,-2.6504755000000015,53.929770624999996,"[-2.6504755000000015, 105.20906575]",COMPLETE
15,148.536103575,2026-07-21 10:22:04.056856,2026-07-21 10:25:28.495476,0 days 00:03:24.438620,64,0.1,0.002939768416508624,0.98,0.0011277415169410007,0.3,5,1024,0.0002806734200764424,0.25,204.0880868830136,0.9997193265799236,2.0,72.52876005,76.007343525,"[224.5434471, 72.52876005]",COMPLETE
16,52.20072265,2026-07-21 10:23:57.446310,2026-07-21 10:28:45.153192,0 days 00:04:47.706882,128,0.1,0.0005522343865905778,0.9,0.0007441519820753306,0.5,20,1024,0.0002128339738611084,0.25,287.6476552259992,0.9997871660261389,2.0,-35.18449035,87.38521300000001,"[139.58593565, -35.18449035]",COMPLETE
17,-2515.1694321999994,2026-07-21 10:24:01.831987,2026-07-21 10:24:38.542116,0 days 00:00:36.710129,128,0.3,5.889800681926988e-06,0.9,0.00037539641472465334,1.0,3,4096,0.001350840763217891,0.5,,,,,,,PRUNED
18,-1868.515914,2026-07-21 10:24:04.572121,2026-07-21 10:24:37.340991,0 days 00:00:32.768870,64,0.3,0.0001550977647392921,0.98,7.238766660271432e-05,0.3,5,512,0.002669236096119637,1.0,,,,,,,PRUNED
19,-233.31382760000002,2026-07-21 10:24:18.192058,2026-07-21 10:25:20.005808,0 days 00:01:01.813750,128,0.2,1.5051674068078837e-06,1.0,0.00013905968007676842,1.0,20,4096,0.0050764238386281635,1.0,,,,,,,PRUNED
20,122.02065942499999,2026-07-21 10:24:28.594368,2026-07-21 10:28:11.065989,0 days 00:03:42.471621,256,0.3,0.00025658557394973885,1.0,0.0008917819088555647,0.5,20,2048,0.0008287106381331574,0.5,222.31595181601006,0.9991712893618668,2.0,105.2362381,16.784421325000004,"[105.2362381, 138.80508075]",COMPLETE
