#{"t_start": 1784145448.2867713, "env_id": "LunarLander-v3"}
r,l,t
-97.030151,67,0.020019
-243.12039,81,0.039646
-181.704336,120,0.068892
-103.635421,74,0.086472
-95.623039,59,0.100101
-144.498744,125,0.130697
-246.399187,67,0.146641
-372.686593,105,0.171615
-411.792003,144,0.206745
-61.931209,73,0.223648
-110.690548,72,0.240201
-79.371006,120,0.268941
-320.925833,97,0.291521
-218.004944,106,0.316869
-126.731156,92,0.338757
-101.033099,106,0.363939
-258.553322,138,0.397825
-135.149572,81,0.416639
-80.222391,62,0.431191
-333.676134,88,0.451758
-54.819715,70,0.468027
-102.765582,97,0.491175
-237.559094,89,0.820396
-251.052131,125,0.852921
-192.983987,71,0.871574
-253.735701,115,0.900451
-424.384676,97,0.924341
-139.981216,64,0.939737
-118.544798,76,0.958252
-153.704349,82,0.977823
-127.407481,78,0.995837
-103.254003,73,1.015266
-151.761151,95,1.037911
-180.283914,128,1.069662
-228.267673,60,1.083566
-133.581159,102,1.108623
-371.255915,90,1.129842
-95.716299,78,1.147977
-88.774681,77,1.166043
-183.66603,67,1.181668
-123.368201,65,1.19649
-185.295043,85,1.215946
-103.125925,108,1.242543
-9.27298,122,1.272262
-442.478497,115,1.603209
-158.458712,82,1.623087
-118.443988,87,1.643499
-104.684877,65,1.65852
-290.795576,122,1.687529
-178.873325,113,1.715936
-147.162814,88,1.737053
-331.83717,107,1.762449
-160.670243,119,1.791264
-226.914691,93,1.813166
-121.729945,74,1.830414
-74.987075,83,1.849894
-103.54348,77,1.867987
-120.533888,75,1.885457
-263.525103,75,1.903067
-100.527322,109,1.929647
-152.348045,88,1.950748
26.183385,95,1.974032
-185.015156,126,2.005237
-346.511543,96,2.028714
-239.150062,110,2.055761
-277.701951,108,2.08108
16.684067,77,2.406539
-114.221153,83,2.428337
-359.168612,116,2.457996
-269.234292,102,2.483268
-108.939253,80,2.502549
-144.046255,86,2.523581
-52.755429,83,2.54363
-167.245807,97,2.566986
-88.746094,61,2.581218
-121.777365,113,2.609503
-228.250566,78,2.628598
-177.182229,94,2.651469
-66.117465,129,2.682185
-236.746987,131,2.714479
-188.127977,119,2.743438
-129.044839,127,2.774148
-80.816779,61,2.789486
-255.331493,92,2.81422
-97.17714,70,2.832252
-106.835908,111,2.861179
-8.635048,108,2.888211
-99.329054,74,2.906491
-216.256632,115,3.263102
-46.698946,71,3.280912
-105.312031,69,3.297418
-214.229409,94,3.319984
-79.316558,93,3.342539
-139.566636,108,3.370143
-120.835387,84,3.390417
-85.194247,95,3.41469
-131.128442,121,3.444848
-105.597004,103,3.471195
-114.382542,103,3.496139
-133.545083,114,3.523783
-107.184291,95,3.547097
-43.599155,69,3.563536
-85.896208,66,3.579191
-65.635393,80,3.599528
-428.254338,106,3.625493
-113.614141,94,3.647943
-209.921677,102,3.672273
2.035977,120,3.701378
-129.63407,78,3.720455
-56.024646,69,3.737396
-153.694599,80,4.067221
-94.846267,70,4.084491
-297.90965,98,4.10903
-13.761959,104,4.135565
-130.562512,98,4.159898
-7.266606,126,4.191679
-18.861239,77,4.210552
-90.451788,71,4.227676
-160.375456,73,4.2456
-99.533678,78,4.265005
6.09884,85,4.286562
-338.170478,109,4.312678
-103.617393,96,4.335841
-194.002612,152,4.373581
-90.968579,69,4.390211
-331.729809,112,4.418109
-88.725704,95,4.441391
-115.345544,105,4.467087
-1.740883,122,4.497283
-161.04836,112,4.525295
-83.008266,86,4.545866
-160.464935,112,4.875972
-147.572069,90,4.897567
-98.444057,92,4.919747
-49.394506,102,4.944286
-74.247982,87,4.964691
-86.933031,109,4.990912
-450.378434,108,5.017575
-298.523885,126,5.04891
-100.944255,104,5.074293
