#{"t_start": 1784145627.459181, "env_id": "LunarLander-v3"}
r,l,t
-155.309609,91,0.06019
-157.085628,58,0.096132
-99.745368,63,0.135997
-95.601513,72,0.181945
-99.91882,73,0.230395
-104.300385,71,0.276857
-135.030167,97,0.341511
-198.779231,90,0.398908
-132.103164,99,0.460733
-129.17967,114,0.535292
-92.212001,69,0.579192
-342.142239,79,0.630165
-112.85449,93,0.947852
-169.887382,75,0.997209
-108.163614,85,1.05082
-103.036276,113,1.123091
-154.407483,92,1.18351
-155.457004,95,1.244142
-141.257068,84,1.298249
-78.406433,62,1.337849
-470.636156,133,1.425676
-140.616432,110,1.496665
-235.937128,87,1.552148
-73.488382,63,1.848193
-89.198558,67,1.89192
-65.906868,95,1.955162
-150.541181,100,2.020642
-86.223563,74,2.06902
-195.558219,97,2.133734
-189.754614,168,2.245905
-185.555457,106,2.314689
-116.04786,105,2.384451
-113.616173,74,2.432989
-133.491432,95,2.494064
-108.04956,64,2.791644
-93.669794,114,3.315264
-86.911201,95,3.379517
-68.232573,120,3.463209
-42.973334,159,3.57095
-100.937228,71,3.619908
-58.833856,84,3.673997
-162.336313,81,3.728813
-105.096472,106,3.801097
-85.017493,83,3.857345
-271.939495,130,4.198205
-126.923405,96,4.261308
-122.024367,78,4.315052
-45.879612,72,4.365206
-72.458968,64,4.406135
-262.937311,94,4.4711
-102.068156,85,4.528484
-182.680672,68,4.574353
-275.001727,104,4.644132
-60.138306,72,4.692559
-65.70927,96,4.756781
-87.105339,66,4.802675
-48.719894,112,5.128359
-225.507461,108,5.20095
-140.708544,93,5.263883
-170.279551,149,5.36656
-110.614922,110,5.440584
-94.121261,86,5.499115
-187.133752,134,5.588413
-214.086189,95,5.653286
-191.303247,141,5.747658
-33.712589,112,6.077625
-56.818312,67,6.596095
-119.414396,71,6.644052
-132.58349,124,6.728259
-191.673706,104,6.79773
-112.563428,94,6.858082
-112.248645,96,6.921479
-70.53081,157,7.032717
-52.368808,117,7.111788
-92.925758,99,7.175918
-123.630839,142,7.527876
-103.148005,90,7.589989
-166.468633,135,7.684304
-255.467187,103,7.756841
-102.290406,99,7.826138
-73.251538,67,7.871774
-85.749578,77,7.922681
-131.595375,115,8.001611
-82.457573,137,8.098248
-53.546371,144,8.453067
-144.387883,115,8.533926
-74.556397,123,8.615717
7.505972,104,8.688874
-53.594182,64,8.732459
-87.438129,98,8.800552
-115.37184,147,8.901936
-48.255248,76,8.957551
-91.685609,97,9.027107
