#{"t_start": 1784297168.2210674, "env_id": "LunarLander-v3"}
r,l,t
-220.734063,89,0.025208
-280.178952,96,0.048855
-251.912006,136,0.082501
-95.069266,81,0.102531
-122.787446,68,0.118762
-123.703071,100,0.142869
-232.07403,77,0.161625
-276.250469,115,0.189636
-260.657581,107,0.215751
-127.215364,141,0.251754
-135.272579,97,0.275005
-193.401824,109,0.302285
-94.538649,93,0.324561
-172.957838,77,0.343067
-81.952214,62,0.357924
-210.562003,123,0.388445
-106.348178,110,0.415551
-346.926963,88,0.436903
-228.856239,96,0.460653
-375.273498,116,0.489642
-86.352906,64,0.505014
-339.204406,124,0.847159
-38.858865,115,0.876915
-105.783571,74,0.894835
-302.518542,81,0.915017
-40.760425,114,0.944341
-74.955352,67,0.960764
-186.196615,81,0.980907
-121.382098,79,1.000197
-145.158184,110,1.027688
-151.492402,105,1.05357
-109.233218,87,1.074477
-77.215851,60,1.089015
-148.572661,71,1.106586
-111.581359,72,1.124557
-102.780054,66,1.140734
-115.717701,80,1.160747
-183.863136,105,1.18693
-104.296852,78,1.205953
-190.167128,78,1.224723
-171.336177,64,1.240162
-113.967004,103,1.265616
-94.919096,67,1.281938
-52.958658,100,1.307234
-161.995658,71,1.634731
-264.602399,111,1.66441
-310.661784,172,1.710089
-260.852281,93,1.733566
-64.741426,154,1.773921
-85.789053,95,1.798046
-238.964641,100,1.823185
-66.780584,87,1.845108
-218.689418,159,1.886974
-87.403826,100,1.912533
-205.022608,106,1.9397
-199.703017,148,1.977599
-144.582909,106,2.004259
-325.870541,89,2.027011
-87.200137,118,2.057048
-104.963787,76,2.075933
-208.365764,111,2.104013
-66.936837,72,2.121671
-77.746797,75,2.140649
-124.687282,119,2.481703
-159.014211,141,2.518902
-79.015912,132,2.552919
-244.02437,101,2.5789
-96.676679,165,2.623385
-63.865121,103,2.649446
-56.777351,71,2.666837
-118.957655,89,2.688663
-198.22795,127,2.721123
-97.449146,88,2.743139
-242.053084,95,2.767359
-172.404486,153,2.807326
-201.928866,78,2.826698
-108.832114,93,2.849628
-178.191829,106,2.877015
-93.066789,120,2.907563
-209.894836,102,2.933015
-85.867832,78,2.952292
-65.508444,103,2.978139
-104.313981,124,3.3215
-99.787332,170,3.367772
-284.632348,201,3.425408
-40.773628,79,3.445171
-233.85859,121,3.476583
-95.511922,95,3.500668
-80.579356,146,3.539438
