#{"t_start": 1784296584.8668697, "env_id": "LunarLander-v3"}
r,l,t
-106.254321,124,0.038145
-441.741325,90,0.062214
-261.945753,67,0.079527
-293.760062,110,0.107483
-92.49788,80,0.127312
-353.419657,131,0.160918
-120.7044,94,0.184272
-1.750918,88,0.20725
-190.786528,89,0.228873
-111.980842,85,0.249622
-357.404621,80,0.269546
-65.12018,83,0.290032
-56.372969,111,0.318768
-293.102404,85,0.340161
-111.70474,73,0.358745
-122.949153,122,0.388796
-228.195444,73,0.407069
-278.774862,89,0.429117
-144.16378,66,0.444855
-69.757926,100,0.470268
-135.237578,58,0.484457
-409.548865,101,0.508754
-351.347109,101,0.847923
-472.355095,104,0.874922
-351.638158,113,0.904374
-128.352858,107,0.931605
-104.363339,74,0.950179
-283.047039,84,0.971437
-214.644699,129,1.004619
-164.863165,78,1.02387
-334.353171,119,1.055211
-121.20048,75,1.073703
-239.976307,104,1.100873
-357.403366,150,1.140067
-299.197058,78,1.159808
-499.641735,140,1.196089
-96.22965,99,1.221016
-60.811511,63,1.236465
-155.658705,116,1.266221
108.026402,1000,2.161967
-156.103595,104,2.189433
-304.837698,80,2.209075
-507.847149,106,2.236099
-33.979163,71,2.253655
-375.0314,109,2.28071
-69.25917,98,2.306185
-264.020237,114,2.335391
-75.726084,88,2.358243
-402.045199,96,2.381787
-443.311449,101,2.407034
-394.522862,112,2.435199
-436.783031,96,2.458062
-476.621975,124,2.489811
-384.671406,89,2.511378
-85.47467,111,2.854463
-67.988174,83,2.875773
-27.373623,68,2.892833
-286.840422,100,2.917811
-245.74035,110,2.945574
-73.276809,132,2.97974
-318.898353,102,3.005602
-169.097623,129,3.038328
-204.981219,119,3.067657
-230.908428,155,3.109524
-70.998282,74,3.128239
-168.147619,132,3.163473
-134.619706,89,3.185797
-74.691983,79,3.205969
-290.755083,119,3.237197
-257.550269,122,3.270214
-213.876718,105,3.296524
-262.222893,173,3.343149
-256.603495,155,3.701207
-95.928234,117,3.731845
-442.883037,154,3.772003
-256.320304,94,3.795663
-167.12047,133,3.830786
-100.151898,64,3.846884
-203.565274,159,3.891062
-67.422688,114,3.920498
-205.98709,113,3.949276
-296.139706,137,3.984487
-169.02136,115,4.014324
-92.53789,101,4.040156
-66.382042,64,4.056252
-46.148712,114,4.086194
-105.511372,94,4.11088
-69.941399,91,4.134265
-169.738316,109,4.162624
-198.193754,119,4.193613
-8.873331,104,4.534928
-142.666418,173,4.584067
67.91938,1000,5.123394
-317.879106,153,5.165061
-177.194434,115,5.194981
-26.370278,147,5.234205
-170.470539,168,5.279332
-58.281555,90,5.302359
-52.251981,199,5.671524
-333.282289,111,5.69964
-147.86232,136,5.734647
-88.246049,151,5.775872
-95.90643,112,5.804368
-202.977003,119,5.836414
-172.421187,97,5.860494
-92.825591,177,5.911246
-174.931685,174,5.957901
-112.053282,85,5.979323
-51.831861,80,5.999761
-65.593382,133,6.035241
-62.760973,107,6.062554
-236.157292,158,6.106614
-160.52557,140,6.143889
-329.475215,111,6.172292
-338.161793,123,6.203468
-389.615552,134,6.554129
-355.331874,144,6.590683
-245.025929,120,6.621423
-440.736416,161,6.665089
-487.505523,158,6.70634
-56.840248,96,6.731617
-12.136326,159,6.775146
-283.00367,123,6.806654
-83.270248,144,6.844252
-67.399575,94,6.868598
-372.940884,159,6.909797
-182.756277,205,6.969699
-321.353441,138,7.006342
-179.062745,100,7.032593
-170.967351,203,7.407514
-142.47677,94,7.431833
-94.859518,143,7.469673
-30.320162,202,7.527849
-215.696788,189,7.579892
-26.082449,138,7.617502
-44.203095,118,7.649418
-68.017588,156,7.691667
-62.63882,156,7.734473
-189.110188,149,7.773958
-108.56689,203,7.832373
-14.7963,111,7.861285
-244.889801,192,7.914459
-248.328796,243,8.305097
-100.413177,113,8.335429
-78.583035,224,8.399452
-66.302568,125,8.432651
-65.411093,119,8.463618
-179.0053,177,8.51236
-37.446595,120,8.54442
-83.703757,100,8.570843
-231.622933,212,8.630074
-3.629505,145,8.669164
-189.785611,196,8.725269
-133.301097,124,8.757617
-166.121743,194,8.811727
10.800415,140,9.164613
-23.147214,162,9.208935
-35.665036,165,9.255142
-56.538841,163,9.299657
-39.466017,149,9.338569
-45.127298,100,9.364544
-31.12757,123,9.397597
-31.506964,164,9.440941
-6.503565,130,9.476576
-13.043231,146,9.517144
-94.620035,129,9.551072
-95.794365,175,9.599203
-31.536985,115,9.629648
-27.111988,181,9.682148
-30.197474,175,10.045916
4.971989,133,10.082788
-103.416078,166,10.128605
-45.344559,140,10.165613
-50.666206,153,10.206936
-18.892586,124,10.238991
-36.148836,102,10.26515
-238.034376,220,10.327521
35.971516,138,10.36588
-2.07618,149,10.40628
-54.592284,212,10.466602
13.129952,166,10.513091
-26.498869,156,10.555847
-58.386948,184,10.920706
-241.419485,197,10.977261
-46.292979,158,11.418498
-181.331234,180,11.468424
-21.04222,250,11.545071
-42.922912,119,11.577381
-43.431955,180,11.630565
-115.831596,137,11.668616
-4.503381,123,11.701854
-101.010508,153,11.743615
-15.876841,172,11.793075
-113.364366,180,11.844113
26.563799,170,12.209705
-74.055045,153,12.25299
9.605037,146,12.294044
-83.407913,187,12.346773
-114.826668,184,12.4002
-95.549254,144,12.438269
-22.253948,193,12.496034
-142.313286,250,12.572431
-97.716338,176,12.621588
-35.106327,423,12.773354
-100.63072,144,13.127071
-15.555073,190,13.186083
-60.886579,180,13.238113
-144.918882,192,13.292979
-118.276861,224,13.361179
-13.789316,235,13.438106
10.447789,201,13.49894
-156.14259,181,13.549792
-92.811781,165,13.594409
-93.088887,209,13.654519
-236.746212,691,14.233688
-110.767225,201,14.294015
-62.735119,144,14.333595
8.438727,319,14.441427
-52.36119,270,14.531039
-96.623447,288,14.628128
-62.189855,250,14.704931
-111.402917,238,15.094078
8.319714,140,15.132911
45.914525,274,15.219335
91.843797,1000,15.841864
-46.18406,259,15.932253
-77.254043,417,16.401135
32.507128,305,16.509773
14.412862,201,16.572414
-95.071472,310,16.681075
-14.135294,336,16.803663
-3.829458,167,16.850935
16.417536,233,16.922371
-4.516482,187,16.975062
-36.524735,368,17.426895
34.257476,347,17.570261
-24.401633,150,17.612574
-4.622878,325,17.731388
-12.62869,183,17.783141
20.641117,200,17.840338
53.962118,188,17.897687
-31.561117,265,17.982286
20.815237,290,18.40362
91.790168,1000,19.12249
-25.434041,428,19.303835
38.346754,189,19.359386
96.758586,1000,20.1585
116.219775,1000,20.860981
99.243805,1000,21.72186
-47.967667,206,21.786793
19.327394,186,21.841893
133.454186,1000,22.665696
-84.70893,557,23.227772
105.756067,1000,24.003273
-4.408546,177,24.056042
99.709193,1000,25.077163
191.296895,793,25.433643
252.204623,661,26.158637
234.381724,758,26.539603
214.754979,518,27.888694
245.725866,750,28.71913
-13.082968,352,28.863154
243.072779,643,29.085772
-39.450528,277,29.18381
221.950199,371,29.33935
243.853006,444,29.872288
235.451122,338,29.998481
236.425874,460,30.190381
-21.489294,248,30.268896
205.327937,427,30.436116
249.441513,450,30.624248
-17.415002,232,31.008756
284.902508,413,31.17252
244.194509,361,31.30735
202.876932,345,31.443892
243.558159,449,31.646792
215.190898,418,32.117343
233.866955,351,32.275064
213.649803,377,32.436113
222.626241,327,32.560526
267.530507,463,32.737861
239.110519,392,32.895856
254.298029,354,33.344636
257.438951,466,33.530309
-32.284567,174,33.5813
176.233539,432,33.73865
200.902543,553,33.958158
251.621084,332,34.391459
256.293199,393,34.546788
233.104492,316,34.651476
255.106367,417,34.791394
241.273363,372,34.947384
7.842154,312,35.365845
-20.520759,204,35.428374
263.838726,352,35.564927
-99.586149,665,35.838058
241.703576,356,35.980197
246.725293,328,36.100013
216.024532,310,36.522547
269.151768,340,36.655096
251.921798,307,36.74965
238.077958,306,36.857869
247.558494,437,37.008743
252.721784,570,37.551589
-36.08822,132,37.589097
-259.341779,350,37.732985
269.525648,332,37.860659
264.884969,506,38.067605
233.969816,478,38.291254
210.677415,367,38.757316
225.915074,333,38.878697
157.921927,488,39.132205
225.970504,348,39.268069
-1.437192,257,39.34884
227.691854,462,39.836848
265.716437,384,39.980742
40.603207,1000,40.402051
13.200271,189,40.455221
-2.036942,185,40.509489
7.828625,486,40.985368
262.46821,335,41.122513
215.549756,318,41.233158
250.885013,372,41.359313
-25.794236,358,42.158612
247.429673,435,42.649516
226.038012,298,42.744918
-127.122858,322,42.855189
265.545365,488,43.059831
249.60659,489,43.227127
-157.270568,624,43.779428
226.444587,601,44.007499
208.633021,361,44.14962
243.090201,473,44.345612
215.448288,314,44.456718
-28.979673,190,44.824601
265.396807,287,44.923271
253.005141,571,45.201431
213.261857,457,45.402777
162.104198,344,45.533535
240.683136,358,45.98689
171.542799,565,46.229058
249.440911,388,46.372297
-50.54129,313,46.479661
216.50294,354,46.625751
231.641325,421,47.114004
250.55863,406,47.277821
-25.013746,218,47.342766
280.016191,488,47.516169
201.005374,420,47.698347
-36.26706,134,47.734926
-22.027406,267,47.823261
-17.427761,175,48.183948
238.751603,354,48.31588
2.754857,356,48.437549
267.587197,482,48.611373
-50.786346,186,48.666502
-22.414309,349,48.778353
212.378236,466,49.261898
-30.041257,332,49.369548
217.194056,411,49.544459
229.891192,335,49.656696
-118.350991,294,49.743903
215.816667,294,49.840446
-40.773046,125,49.873934
-218.356798,204,50.246632
277.709672,521,50.500359
218.561669,334,50.626677
232.587639,265,50.70456
232.200311,339,50.83612
169.940501,352,50.973981
-175.52339,617,51.491791
33.641268,298,51.591721
-11.151385,193,51.648113
216.442095,317,51.752603
241.683639,339,51.876353
220.838558,375,52.34103
230.127412,360,52.483669
3.63071,337,52.611874
217.15473,458,52.845904
213.490929,364,52.991451
250.212508,344,53.120653
211.449984,427,53.607571
251.825369,392,53.767479
-23.104547,355,53.89072
-35.06854,189,53.9463
-41.069471,129,53.981344
-20.413831,338,54.093943
-13.169504,162,54.140238
249.736362,349,54.584756
203.307616,356,54.715885
215.87474,248,54.787322
218.05199,303,54.894201
-88.739427,372,55.006961
209.718672,302,55.65357
182.866542,522,56.223456
-93.452783,214,56.285257
-15.927283,303,56.377997
170.192788,356,56.511773
230.021901,290,56.615233
187.668615,394,56.759177
232.145082,366,57.204854
-40.429818,244,57.280036
174.187303,410,57.438179
232.200817,314,57.549546
-36.019481,252,57.627635
-44.635638,183,57.680472
-70.385768,167,57.72754
235.111151,255,57.806538
240.376893,346,58.262061
223.097769,403,58.454548
4.489559,267,58.54398
-38.66103,194,58.604831
209.828661,288,58.702066
256.909054,491,58.927393
255.650399,325,59.37382
193.312475,305,59.476421
-26.777194,151,59.518356
204.631545,250,59.597162
241.830404,368,59.741735
-78.50047,484,59.904516
181.833477,452,60.377446
202.107357,317,60.495129
-41.114698,186,60.547535
-37.724179,142,60.588254
164.601647,580,60.811856
225.871979,435,60.979688
-22.133792,172,61.029819
154.481991,280,61.438697
183.916372,424,61.610991
195.431984,404,61.759882
229.591897,452,61.944661
-86.124989,155,61.988586
-84.258451,191,62.043267
166.839878,347,62.480336
207.97654,305,62.57908
231.084848,334,62.690105
-122.834522,376,62.815592
231.802297,301,62.915554
-170.089132,373,63.041009
-134.578073,467,63.493455
190.896384,298,63.601914
184.151953,360,63.728289
286.594525,320,63.829667
-84.534324,424,63.976125
57.47768,1000,64.800036
158.718661,291,64.894918
-46.232967,148,64.935565
-2.180141,275,65.019133
-16.501408,177,65.067915
-15.047346,324,65.168979
258.845266,356,65.602862
-82.347685,352,65.717409
163.540191,642,66.016546
-49.325523,199,66.073301
214.455464,341,66.208045
234.339792,422,66.366174
195.139325,525,66.90333
-14.803517,210,66.966744
213.418382,402,67.123882
186.670455,968,67.975577
230.558373,386,68.115733
242.973896,357,68.260543
-31.229067,225,68.326187
-27.268787,328,68.43415
184.598148,452,68.60015
-62.544915,200,68.655177
-75.846466,327,69.620838
63.917985,1000,70.097501
176.78153,574,70.304819
213.608779,352,70.758995
195.852024,387,70.899677
242.817741,313,71.010168
-141.374088,368,71.142076
95.518331,1000,71.924807
217.88055,277,72.022467
202.205908,374,72.199257
240.034549,334,72.321333
230.181253,328,72.450586
223.962325,381,72.607266
215.635974,330,73.040702
140.904759,882,73.454348
143.589062,392,73.605237
228.192945,305,73.714799
207.388732,488,74.228037
166.734007,588,74.483996
216.104059,349,74.631042
235.964058,467,74.840557
238.735598,360,74.976764
181.275148,516,75.479299
-90.232373,441,75.619609
-56.87647,122,75.653265
258.921357,263,75.747423
7.288992,294,75.851608
1.126749,333,75.969561
209.947173,411,76.415371
228.583324,336,76.55313
-52.107102,294,76.648515
9.844139,288,76.739306
229.493013,362,76.876325
208.259147,332,76.983574
237.358316,318,77.413326
54.400735,1000,77.956929
251.969251,334,78.076872
-92.313667,389,78.232693
145.415051,755,78.831906
234.231704,474,79.035857
201.965644,773,79.31903
-28.285928,306,79.736644
253.129939,336,79.862364
242.355739,407,80.043992
38.005438,301,80.139899
166.236338,491,80.34508
-6.512821,228,80.41733
242.672242,347,80.860331
237.91722,334,80.98801
176.106113,446,81.179591
-8.915806,224,81.249042
196.055277,341,81.388861
224.948475,375,81.557693
-25.29064,244,81.632923
277.222786,409,82.117302
151.880833,543,82.306041
222.846563,458,82.463553
-39.586949,296,82.559032
223.486428,360,83.008224
228.676822,339,83.141022
244.902318,335,83.94675
238.79422,422,84.131145
241.520268,371,84.294438
213.814861,363,84.424553
187.944171,508,84.977488
221.785914,311,85.086151
232.276525,422,85.269288
72.08378,1000,85.816066
199.224512,461,86.343382
-142.878277,566,86.539467
204.2839,475,86.755899
242.797543,358,86.896692
197.265396,391,87.376681
260.541183,483,87.593314
240.36129,361,87.715008
228.152501,408,87.879358
188.225721,612,88.442119
204.819075,399,88.609932
250.370422,459,88.811574
203.434785,590,89.098441
-26.215248,364,89.218563
241.90423,404,89.695918
270.441363,426,89.905375
252.875064,420,90.06687
257.533754,464,90.302723
-22.259809,283,90.397271
234.658851,457,90.94923
218.31215,387,91.130212
227.695921,469,91.305526
247.91926,411,91.487167
245.228419,383,91.636495
284.116696,410,92.144453
212.434877,433,92.326428
221.609769,430,92.501857
216.215203,389,92.683007
214.245313,411,92.866407
228.920926,398,93.368195
234.962539,423,93.561944
167.049674,462,93.729652
-144.190775,338,93.857976
231.172235,512,94.090027
226.90765,414,94.597257
239.79073,422,94.787275
103.281987,759,95.162532
133.834797,680,95.910058
174.181036,443,96.16254
233.732476,405,96.348887
229.28982,470,96.514295
132.966295,819,97.314249
219.533498,453,97.512684
-103.210494,607,97.777996
212.952421,483,98.010101
279.876477,371,98.509145
206.604309,460,98.747905
206.37756,442,99.752804
221.007596,394,99.912778
264.132033,416,100.09509
149.003441,804,100.958317
280.839949,356,101.0891
276.139144,386,101.225221
226.337128,371,101.396425
255.993123,413,101.861727
206.736708,417,102.033003
251.364247,403,102.198006
231.957199,459,102.392987
223.950123,438,102.574184
163.882012,577,103.183041
187.593895,535,103.443342
211.742903,357,103.590909
228.926045,378,103.734854
67.080848,1000,104.661925
-315.754763,434,104.841903
278.724966,373,105.011216
199.772662,479,105.221111
200.032843,395,105.722153
224.964134,405,105.870241
238.618704,349,106.010414
265.721721,341,106.133217
225.110096,396,106.2842
280.470196,448,106.770982
239.5272,387,106.925078
253.968326,387,107.08184
249.330983,326,107.202694
240.542366,438,107.368514
273.221758,319,107.478716
268.138063,368,107.923698
225.251759,466,108.085838
271.308214,358,108.213618
225.277445,350,108.357965
263.794184,486,108.524404
291.31709,319,108.947201
279.246544,361,109.085256
258.94331,395,109.231775
202.247351,457,109.443199
246.714595,617,109.750467
73.50756,1000,110.68398
113.993696,523,110.942954
221.890691,422,111.12552
221.581494,372,111.587565
257.859124,390,111.729365
249.644526,442,111.928944
234.485649,401,112.093064
98.82274,1000,113.043664
266.937192,324,113.144695
235.009729,407,113.339369
205.346942,355,113.490407
-38.873966,295,113.589661
268.848156,403,114.06943
269.27446,393,114.223805
258.238002,428,114.366371
242.605876,432,114.512605
129.148972,1000,115.958344
262.753161,315,116.075572
246.593908,428,116.237056
263.136122,458,116.39502
254.330783,460,116.600008
251.03456,398,117.041678
265.852778,418,117.208963
94.932269,1000,117.903575
249.097313,406,118.428272
280.432399,319,118.544885
23.903446,207,118.607254
285.886524,317,118.712406
248.170653,427,118.921469
263.442902,325,119.026328
227.037948,330,119.149932
235.139609,372,119.609441
213.978839,320,119.732992
246.528272,416,119.892695
207.042359,369,120.043504
26.843523,223,120.110119
232.747085,772,120.888352
3.348613,185,120.942127
248.757292,315,121.045665
260.530925,413,121.216987
294.401404,268,121.300263
256.592155,387,121.460602
262.915159,356,121.908063
281.137795,286,122.003442
277.291,467,122.211622
228.142937,433,122.433632
212.376202,328,122.562334
270.358933,369,123.024426
208.767255,329,123.145733
237.483787,319,123.250829
228.515985,336,123.379445
190.103316,534,123.581226
227.070212,328,123.698768
300.144369,321,124.113919
231.265307,368,124.260697
134.908573,1000,124.752663
209.851916,332,124.891399
275.987025,348,125.320867
267.542342,369,125.475038
245.927913,366,125.611166
282.923071,361,125.769165
255.671838,352,125.885761
249.026161,296,125.995419
239.391445,310,126.412665
267.017811,286,126.509434
175.087147,1000,127.061262
217.05618,358,127.211716
94.278144,1000,128.008183
269.262804,312,128.118004
20.140037,232,128.188049
195.457597,349,128.312822
127.488223,1000,129.109806
227.779021,377,129.257501
10.929349,196,129.314192
271.041864,295,129.404781
239.3357,376,130.025803
-7.406751,297,130.433035
229.990666,381,130.591955
-652.413423,298,130.695065
215.313231,418,130.873217
283.618564,274,130.965803
248.551238,622,131.535241
255.118703,401,131.69798
290.065199,355,131.849495
143.395071,1000,132.278044
210.59719,295,132.691838
-1.263631,266,132.778298
248.96219,341,132.903049
250.417518,355,133.045166
13.651526,199,133.105084
245.31169,453,133.288552
264.826148,423,133.810065
-7.85988,279,133.906981
268.649817,277,134.00762
311.491519,404,134.173712
272.877549,382,134.305879
-39.37022,262,134.396631
291.155077,355,134.525692
200.220982,614,135.261262
130.135682,1000,135.760559
251.659967,374,135.909227
234.716822,338,136.34841
239.687198,284,136.454561
208.886725,320,136.580809
227.802752,311,136.687203
-14.785452,266,136.776808
268.750441,293,136.881612
263.941296,321,137.307836
263.353844,298,137.405147
270.568256,296,137.511567
155.065237,1000,137.981198
210.397929,333,138.109007
144.032826,1000,138.831028
224.961727,339,138.944374
226.148725,317,139.062503
232.781825,383,139.20032
213.567527,315,139.627093
278.037783,323,139.73879
257.958654,305,139.850573
251.047394,292,139.955916
-57.522395,300,140.066036
160.722286,561,140.398628
262.826339,279,140.805316
104.251533,1000,141.266687
292.464788,374,141.410918
2.391673,201,141.468885
124.010965,1000,142.279808
277.044049,921,142.686603
245.841438,314,142.804096
253.014069,316,143.240307
279.824615,327,143.357834
233.607811,515,143.563715
241.755959,406,143.73966
289.776122,364,143.856233
248.404172,321,144.278038
206.232554,381,144.895293
242.602057,280,144.998368
272.400493,392,145.13343
211.33808,342,145.279938
307.608021,519,145.482828
