#{"t_start": 1784626413.871989, "env_id": "LunarLander-v3"}
r,l,t
-80.778559,60,0.513119
-277.440498,87,0.534726
-174.78645,111,0.563003
-70.483197,77,0.581697
-247.984638,90,0.603706
-202.238082,79,0.622854
-106.10877,79,0.642461
-352.470094,90,0.664804
-93.269225,88,0.686753
-123.285863,83,0.707103
-143.132486,148,0.745816
-132.414181,61,0.761093
-91.531829,63,0.776273
-378.534667,89,0.799482
-96.242873,68,0.816899
-103.884576,90,0.840274
-80.538993,68,0.857039
-283.296549,71,0.874566
-508.89315,93,0.89818
-342.411626,131,0.931101
-135.874036,97,0.955645
-297.01698,93,0.979405
-91.257493,64,0.995426
-91.172309,83,4.574839
-162.291864,97,4.599128
-106.403612,61,4.614211
-123.037081,85,4.634995
-68.478335,64,4.65057
-118.742431,128,4.684189
-193.459781,119,4.714015
-112.757787,82,4.734526
-104.061603,77,4.753592
-236.803542,157,4.794592
-136.518822,91,4.817389
-144.730712,97,4.841681
-109.87174,63,4.857449
-156.846182,110,4.885339
-174.753139,90,4.908208
-117.595172,68,4.924608
-20.006171,140,4.961161
-97.593706,70,4.978276
-163.162793,61,4.993271
-299.549882,89,5.015907
-138.502201,82,5.036575
-88.58714,70,5.053792
-203.21153,108,5.08224
-118.375465,102,5.431107
-117.004543,80,5.451451
-144.6682,96,5.475315
-258.080161,101,5.501413
-81.905386,118,5.531641
-121.717251,110,5.559646
-229.14218,72,5.577957
-119.055069,94,5.601777
-159.968748,81,5.621967
-176.439721,88,5.643719
-79.447282,127,5.676188
-128.321088,91,5.698804
-147.018078,92,5.722115
-80.788047,120,5.752896
-186.153728,95,5.777154
-51.929086,59,5.791596
-289.84267,93,5.814857
-67.299588,67,5.831308
-178.145005,125,5.8632
-156.052392,104,5.889416
-167.078058,125,5.921809
-147.244495,130,6.279898
-154.162938,82,6.300556
-138.547694,93,6.324671
-239.905243,117,6.35596
-211.267956,125,6.3893
-150.057347,116,6.419806
-82.87507,84,6.440856
-115.645308,114,6.471403
-119.590866,112,6.500806
