train_seed,mean_reward,total_timesteps,training_duration_s,point_id,gamma
800,227.88264935,150000,138.71291468999698,gamma_000,0.997595
801,-39.573508399999994,150000,142.29561659999308,gamma_000,0.997595
802,123.62010124999999,150000,163.3212443650118,gamma_000,0.997595
800,182.36947915000002,150000,147.97557528299512,gamma_001,0.998648
801,15.345757299999997,150000,130.51824485999532,gamma_001,0.998648
802,156.37131945000002,150000,171.93918334200862,gamma_001,0.998648
800,163.24795890000001,150000,159.6166782079963,gamma_002,0.99924
801,192.91575525000002,150000,163.6988924680045,gamma_002,0.99924
802,196.51965130000002,150000,140.14652642500005,gamma_002,0.99924
800,171.2710773,150000,143.69036473499727,gamma_003,0.999572
801,166.32395839999998,150000,151.91389601901756,gamma_003,0.999572
802,203.54764925,150000,127.05630110600032,gamma_003,0.999572
800,220.8085357,150000,122.81356157999835,gamma_004,0.99976
801,243.06511455,150000,161.90073549299268,gamma_004,0.99976
802,226.34931,150000,133.5630065749865,gamma_004,0.99976
800,251.7062947,150000,156.20597152601113,gamma_005,0.999865
801,209.78372389999998,150000,115.90478383001755,gamma_005,0.999865
802,126.8019088,150000,120.61055089300498,gamma_005,0.999865
800,211.7100504,150000,111.30538326699752,gamma_006,0.999924
801,2.5490987500000046,150000,115.41362561099231,gamma_006,0.999924
802,173.55314330000002,150000,111.87043990101665,gamma_006,0.999924
800,228.15583719999995,150000,109.71633469298831,gamma_007,0.999957
801,111.99931355000001,150000,109.65758935699705,gamma_007,0.999957
802,177.6020815,150000,122.90240531798918,gamma_007,0.999957
800,222.42432309999998,150000,122.68211003398756,gamma_008,0.999976
801,99.71177959999999,150000,128.53336726198904,gamma_008,0.999976
802,223.21860935000004,150000,114.16288919499493,gamma_008,0.999976
