#{"t_start": 1784296280.5425074, "env_id": "LunarLander-v3"}
r,l,t
-136.124349,100,0.028205
-136.493392,122,0.059331
-63.971389,112,0.086888
-83.039302,107,0.114146
-45.747765,70,0.131608
-71.839676,86,0.153177
-120.432122,104,0.179277
-221.964268,86,0.199971
-144.006323,87,0.222122
-337.997715,141,0.258682
-94.388122,78,0.278019
-69.191647,112,0.306284
-115.622867,54,0.319417
-40.600969,70,0.33678
-312.77192,103,0.363319
-121.911247,83,0.383888
-83.948529,127,0.416841
-329.920648,119,0.447238
-177.151359,65,0.463304
-240.220509,116,0.492285
17.444331,74,0.510867
-295.345559,84,0.851487
-115.548178,149,0.891082
-184.273028,79,0.911601
-76.618526,65,0.928422
-59.17677,66,0.944879
-331.698432,114,0.974898
-355.408872,88,0.997427
-102.114166,83,1.018356
-157.948708,112,1.046592
-114.642472,83,1.066992
-68.694312,68,1.084166
-131.96378,100,1.109511
-177.531942,115,1.139961
-224.599254,127,1.17261
-83.947375,95,1.19597
-78.277948,67,1.213054
-227.856264,74,1.231453
-21.046456,111,1.259987
-228.273747,100,1.285384
-77.291249,60,1.300487
-84.722208,64,1.316431
-216.039473,84,1.337016
-74.390016,62,1.352985
-129.89602,118,1.699875
-282.659132,100,1.725209
-62.015788,73,1.743424
-242.914639,107,1.770743
-428.150623,124,1.802724
-81.791389,60,1.818043
-130.898221,83,1.838154
-144.462952,96,1.862149
-180.70812,61,1.87724
-102.623639,67,1.894009
-241.597582,110,1.922806
-263.618356,105,1.948918
-0.085723,159,1.991636
-97.470816,72,2.009667
-280.716903,122,2.041292
-102.331155,95,2.065757
-171.37376,105,2.092545
-93.540141,97,2.117112
-180.141852,75,2.135992
-354.543208,95,2.159944
-70.658644,68,2.176891
-248.737602,103,2.519779
-89.209223,93,2.543689
-74.675736,81,2.564425
-72.739805,100,2.589558
-170.464203,87,2.611915
-100.126761,65,2.628009
-206.26995,78,2.647341
-149.987113,109,2.67548
-127.045237,94,2.699519
-249.969349,105,2.727222
-88.804309,73,2.745776
-76.034659,77,2.764888
-69.64249,85,2.786216
-328.576837,130,2.819446
-80.448299,120,2.850098
-204.238146,106,2.877502
-102.914008,78,2.898212
