#{"t_start": 1784295332.069864, "env_id": "LunarLander-v3"}
r,l,t
-136.124349,100,0.027065
-136.493392,122,0.056604
-63.971389,112,0.083486
-83.039302,107,0.109416
-45.747765,70,0.126183
-71.839676,86,0.146873
-120.432122,104,0.171194
-221.964268,86,0.191782
-144.006323,87,0.213634
-337.997715,141,0.250386
-94.388122,78,0.268934
-69.191647,112,0.297654
-115.622867,54,0.310943
-40.600969,70,0.328531
-312.77192,103,0.354095
-121.911247,83,0.373792
-83.948529,127,0.406212
-329.920648,119,0.436608
-177.151359,65,0.452698
-240.220509,116,0.482254
17.444331,74,0.50086
-294.347668,84,0.707024
-254.42095,161,0.74731
-43.772736,67,0.763068
-65.047802,66,0.778889
-74.8523,86,0.799139
-68.35959,94,0.821647
-242.988802,97,0.844825
-225.41996,96,0.868016
-445.560451,115,0.894721
-225.04643,69,0.910837
-144.296901,66,0.926333
-103.085006,108,0.952621
-245.641843,141,0.987888
-408.479955,100,1.011363
-58.018674,67,1.026824
-179.114188,70,1.043344
-331.507145,73,1.060452
-147.320303,69,1.076706
-337.773118,138,1.109945
-196.136952,89,1.130919
-106.758912,117,1.159372
-233.681285,99,1.183362
-319.138301,182,1.418097
-32.068464,76,1.43677
-357.372523,95,1.459796
-63.869826,83,1.480416
-129.698712,122,1.511716
-46.930487,76,1.53051
-127.209635,77,1.549422
-186.115903,117,1.57782
-190.824296,64,1.593271
-203.660298,95,1.616616
-64.786005,66,1.632346
-128.308047,142,1.667771
-152.953174,92,1.69018
-102.975342,65,1.705997
-270.325886,109,1.732364
-46.630587,80,1.751763
-23.838489,130,1.78415
-392.164549,83,1.804378
-91.811573,136,1.839451
-247.577808,107,1.865802
-337.416059,138,2.084707
-9.623606,79,2.103975
-103.098133,112,2.131111
-313.347598,114,2.159018
-73.812634,80,2.177894
-82.944736,75,2.195877
-43.466656,71,2.212995
-123.849845,109,2.239637
-117.634025,91,2.261437
-82.914521,149,2.29862
-181.33427,117,2.327585
-222.856454,100,2.351448
-85.019552,140,2.38607
-76.515322,78,2.405541
-76.247048,85,2.426653
-134.739882,113,2.454763
-212.564194,98,2.48105
-148.105626,121,2.515191
-363.197757,170,2.564362
-151.980957,128,2.78684
-22.928765,172,2.834528
-170.182249,125,2.866301
-60.212049,96,2.889411
-196.74062,97,2.912734
-120.293632,136,2.947516
-102.531126,107,2.973274
-297.521041,118,3.003557
-72.701928,83,3.023777
-57.742971,134,3.057422
-354.019072,130,3.091215
-74.056319,80,3.110994
-26.277427,71,3.127532
-197.499206,150,3.166042
-57.579238,69,3.182803
-440.727064,143,3.220124
-12.473924,98,3.244681
-91.210254,119,3.27567
-107.684149,96,3.48627
-36.691573,86,3.508187
-238.383833,100,3.532296
-311.875987,119,3.56162
-66.465417,112,3.589221
-360.095525,158,3.628561
-44.904055,84,3.648773
-279.943671,118,3.677924
-544.9968,150,3.71439
-251.241761,112,3.741315
-425.264139,103,3.765346
-16.446558,87,3.786516
-214.575272,119,3.819087
-52.71516,78,3.839252
-110.47569,109,3.866493
-152.586301,125,3.898203
30.031215,1000,4.697012
-37.266079,158,4.737677
19.622577,200,4.791985
-306.281722,196,4.844968
-69.454884,87,4.866051
-53.576473,165,4.910405
-251.917786,228,4.9752
-255.672057,219,5.035809
-96.527307,153,5.259566
-281.757518,82,5.28027
